                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |    36794682 |   352354935 |   273940735 |           0
  Cycles                             |  1052052400 |  1052052400 |  1052052400 |  1052052400
  IPC                                |        0.03 |        0.33 |        0.26 |        0.00
  Time (ns)                          |   263013100 |   263013100 |   263013100 |   263013100
  Idle time (ns)                     |   246815524 |    36629242 |    90974136 |   263013100
  Idle time (%)                      |       93.8% |       13.9% |       34.6% |      100.0%
Branch predictor stats               |             |             |             |            
  num correct                        |     1519330 |    10827540 |     8056402 |           0
  num incorrect                      |       66304 |     2172049 |     1325206 |           0
  misprediction rate                 |       4.18% |      16.71% |      14.13% |       0.00%
  mpki                               |        1.80 |        6.16 |        4.84 |        0.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |     3513095 |    37274945 |    28133778 |           0
    num misses                       |         435 |       14260 |       19820 |           0
    miss rate                        |       0.01% |       0.04% |       0.07% |       0.00%
    mpki                             |        0.01 |        0.04 |        0.07 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    13467228 |   123255130 |    96722581 |           0
    num misses                       |        8833 |      443452 |      484926 |           0
    miss rate                        |       0.07% |       0.36% |       0.50% |       0.00%
    mpki                             |        0.24 |        1.26 |        1.77 |        0.00
  L2 TLB                             |             |             |             |            
    num accesses                     |        9268 |      457712 |      504746 |           0
    num misses                       |        3717 |       76656 |       68161 |           0
    miss rate                        |      40.11% |      16.75% |      13.50% |       0.00%
    mpki                             |        0.10 |        0.22 |        0.25 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |     3513095 |    37274945 |    28133778 |           0
    num cache misses                 |      140323 |     2600231 |     2461574 |           0
    miss rate                        |       3.99% |       6.98% |       8.75% |        inf%
    mpki                             |        3.81 |        7.38 |        8.99 |         inf
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    13467228 |   123255130 |    96722581 |           0
    num cache misses                 |      265884 |     2821855 |     3070119 |           0
    miss rate                        |       1.97% |       2.29% |       3.17% |        inf%
    mpki                             |        7.23 |        8.01 |       11.21 |         inf
  Cache L2                           |             |             |             |            
    num cache accesses               |      406576 |     5426397 |     5533967 |           0
    num cache misses                 |      247465 |     1206347 |     1126817 |           0
    miss rate                        |      60.87% |      22.23% |      20.36% |        inf%
    mpki                             |        6.73 |        3.42 |        4.11 |         inf
  Cache L3                           |             |             |             |            
    num cache accesses               |      248008 |     1219516 |     1144091 |           0
    num cache misses                 |      142972 |      169543 |      111991 |           0
    miss rate                        |      57.65% |      13.90% |       9.79% |        inf%
    mpki                             |        3.89 |        0.48 |        0.41 |         inf
DRAM summary                         |             |             |             |            
  num dram accesses                  |      645913 |           0 |           0 |           0
  average dram access latency (ns)   |      952.62 |         inf |         inf |         inf
  average dram queueing delay        |      899.19 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       2.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |       63096 |      101296 |       42836 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
