                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11899613 |  606941980 |  607279049 |  624789218
  Cycles                             |  433337600 |  433337600 |  433337600 |  433337600
  IPC                                |       0.03 |       1.40 |       1.40 |       1.44
  Time (ns)                          |  108334400 |  108334400 |  108334400 |  108334400
  Idle time (ns)                     |  106608778 |    3271288 |    3682344 |    3847151
  Idle time (%)                      |      98.4% |       3.0% |       3.4% |       3.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     861415 |   78492975 |   79764228 |   82933612
  num incorrect                      |      25412 |    1401187 |    1232536 |    1335046
  misprediction rate                 |      2.87% |      1.75% |      1.52% |      1.58%
  mpki                               |       2.14 |       2.31 |       2.03 |       2.14
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1683350 |   66732596 |   66562704 |   69733701
    num misses                       |        199 |         46 |         45 |         45
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4907462 |  239572602 |  240518782 |  247809088
    num misses                       |       2499 |        616 |      25265 |        632
    miss rate                        |      0.05% |      0.00% |      0.01% |      0.00%
    mpki                             |       0.21 |       0.00 |       0.04 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2698 |        662 |      25310 |        677
    num misses                       |        541 |        143 |        158 |        139
    miss rate                        |     20.05% |     21.60% |      0.62% |     20.53%
    mpki                             |       0.05 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1683350 |   66732596 |   66562704 |   69733701
    num cache misses                 |       7203 |       2031 |       1010 |       1004
    miss rate                        |      0.43% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.61 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4907462 |  239572602 |  240518782 |  247809088
    num cache misses                 |      42965 |    1571949 |    1410451 |    1281509
    miss rate                        |      0.88% |      0.66% |      0.59% |      0.52%
    mpki                             |       3.61 |       2.59 |       2.32 |       2.05
  Cache L2                           |            |            |            |           
    num cache accesses               |      59540 |    2072089 |    1881304 |    1601733
    num cache misses                 |      18272 |    1202357 |    1186394 |    1027212
    miss rate                        |     30.69% |     58.03% |     63.06% |     64.13%
    mpki                             |       1.54 |       1.98 |       1.95 |       1.64
  Cache L3                           |            |            |            |           
    num cache accesses               |      27861 |    1700729 |    1656178 |    1346309
    num cache misses                 |      13691 |        417 |        176 |        187
    miss rate                        |     49.14% |      0.02% |      0.01% |      0.01%
    mpki                             |       1.15 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |      14456 |          0 |          0 |          0
  average dram access latency (ns)   |      72.53 |        inf |        inf |        inf
  average dram queueing delay        |      19.10 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       9274 |         69 |         24 |         22
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
