CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5     Core 6     Core 7     Core 8     Core 9     Core 10    Core 11    Core 12    Core 13    Core 14    Core 15  
base                   0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend                 0.00       0.00       0.08       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-int             0.00       0.07       0.00       0.06       0.06       0.06       0.05       0.05       0.06       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-branch          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.01       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue                  0.00       0.03       0.00       0.00       0.00       0.05       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port2            0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.03       0.03       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port015          0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
branch                 0.00       0.17       0.09       0.09       0.08       0.07       0.07       0.12       0.11       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ifetch                 0.09       0.06       0.19       0.20       0.19       0.19       0.18       0.22       0.17       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-l1d                0.00       0.11       0.09       0.08       0.07       0.06       0.06       0.07       0.07       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-dram               0.20       0.00       0.00       0.10       0.11       0.13       0.14       0.16       0.13       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-futex             5.56       0.00       1.07       0.84       0.64       0.52       0.47       0.15       0.60       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-unscheduled        0.00       0.00       0.09       0.08       0.07       0.06       0.05       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       0.00       0.00       0.14       0.19       0.23       0.26       0.10       0.17       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-end          0.00       1.89       4.92       4.26       3.53       3.00       2.55       0.11       0.00   233401235.00   233401235.00   233401235.00   233401235.00   233401235.00   233401235.00   233401235.00
other                  0.19       0.06       0.19       0.08       0.08       0.03       0.02       0.01       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00

total                  6.29       2.63       6.97       6.18       5.27       4.65       4.16       1.31       1.64   233401235.00   233401235.00   233401235.00   233401235.00   233401235.00   233401235.00   233401235.00
