                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49892016 |   46038333 |   45373953 |   45371741
  Cycles                             |   62710800 |   62710800 |   62710800 |   62710800
  IPC                                |       0.80 |       0.73 |       0.72 |       0.72
  Time (ns)                          |   15677700 |   15677700 |   15677700 |   15677700
  Idle time (ns)                     |    7593342 |    8087851 |    8352763 |    8189719
  Idle time (%)                      |      48.4% |      51.6% |      53.3% |      52.2%
Branch predictor stats               |            |            |            |           
  num correct                        |    8259783 |    2696063 |    2608041 |    2598858
  num incorrect                      |     535809 |      69710 |      55839 |      64293
  misprediction rate                 |      6.09% |      2.52% |      2.10% |      2.41%
  mpki                               |      10.74 |       1.51 |       1.23 |       1.42
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7583456 |    5156235 |    5057368 |    5058371
    num misses                       |        144 |         57 |         33 |         33
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17211827 |   13604845 |   13344590 |   13343505
    num misses                       |        652 |        585 |        105 |         80
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        796 |        642 |        138 |        113
    num misses                       |        320 |        143 |        113 |        104
    miss rate                        |     40.20% |     22.27% |     81.88% |     92.04%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7583456 |    5156235 |    5057368 |    5058371
    num cache misses                 |       2853 |       1132 |        252 |        251
    miss rate                        |      0.04% |      0.02% |      0.00% |      0.00%
    mpki                             |       0.06 |       0.02 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17211827 |   13604845 |   13344590 |   13343505
    num cache misses                 |      11419 |      46645 |      41886 |      41499
    miss rate                        |      0.07% |      0.34% |      0.31% |      0.31%
    mpki                             |       0.23 |       1.01 |       0.92 |       0.91
  Cache L2                           |            |            |            |           
    num cache accesses               |      14373 |      47783 |      42140 |      41752
    num cache misses                 |      10576 |       1721 |       1463 |       1396
    miss rate                        |     73.58% |      3.60% |      3.47% |      3.34%
    mpki                             |       0.21 |       0.04 |       0.03 |       0.03
  Cache L3                           |            |            |            |           
    num cache accesses               |      10681 |       1727 |       1465 |       1398
    num cache misses                 |       8916 |        319 |        312 |        299
    miss rate                        |     83.48% |     18.47% |     21.30% |     21.39%
    mpki                             |       0.18 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9846 |          0 |          0 |          0
  average dram access latency (ns)   |     523.08 |        inf |        inf |        inf
  average dram queueing delay        |     469.65 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2562 |        166 |        196 |        197
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
