CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.00       0.05       0.05       0.05
depend-branch          0.00       0.01       0.01       0.01
issue-port2            0.00       0.03       0.03       0.03
issue-port015          0.00       0.02       0.02       0.02
branch                 0.00       0.12       0.10       0.10
ifetch                 0.08       0.07       0.07       0.07
mem-l1d                0.00       0.07       0.07       0.07
mem-l3                 0.00       0.02       0.03       0.02
mem-dram               0.16       0.03       0.01       0.01
sync-futex             5.49       0.00       0.09       0.11
sync-unscheduled        0.00       0.03       0.03       0.03
imbalance-end          0.00       0.01       0.00       0.06
other                  0.19       0.01       0.01       0.01

total                  6.17       0.72       0.77       0.85
