CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.00       0.03       0.03       0.03
depend-fp              0.00       0.11       0.11       0.11
depend-branch          0.00       0.02       0.02       0.02
issue-port2            0.00       0.02       0.01       0.01
branch                 0.00       0.06       0.05       0.05
mem-l1d                0.00       0.07       0.07       0.08
mem-l3                 0.00       0.12       0.13       0.11
mem-dram               0.13       0.00       0.00       0.00
sync-futex             6.93       0.01       0.03       0.03
sync-unscheduled        0.00       0.02       0.03       0.03
imbalance-start        0.00       0.03       0.03       0.03
other                  0.20       0.01       0.01       0.01

total                  7.51       0.75       0.79       0.77
