                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11845569 |  118194585 |  113077229 |  116011128
  Cycles                             |   88988400 |   88988400 |   88988400 |   88988400
  IPC                                |       0.13 |       1.33 |       1.27 |       1.30
  Time (ns)                          |   22247100 |   22247100 |   22247100 |   22247100
  Idle time (ns)                     |   20523474 |    2023428 |    2620779 |    2637685
  Idle time (%)                      |      92.3% |       9.1% |      11.8% |      11.9%
Branch predictor stats               |            |            |            |           
  num correct                        |     852741 |   14754120 |   14326590 |   14870059
  num incorrect                      |      25179 |     283047 |     261818 |     256737
  misprediction rate                 |      2.87% |      1.88% |      1.79% |      1.70%
  mpki                               |       2.13 |       2.39 |       2.32 |       2.21
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1673897 |   13197280 |   12237807 |   12718804
    num misses                       |        212 |         52 |         52 |         52
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4887353 |   46857212 |   44619522 |   45852123
    num misses                       |       4348 |        673 |        234 |        528
    miss rate                        |      0.09% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.37 |       0.01 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       4560 |        725 |        286 |        580
    num misses                       |        543 |        143 |        136 |        141
    miss rate                        |     11.91% |     19.72% |     47.55% |     24.31%
    mpki                             |       0.05 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1673897 |   13197280 |   12237807 |   12718804
    num cache misses                 |       8205 |       2514 |       1274 |       1296
    miss rate                        |      0.49% |      0.02% |      0.01% |      0.01%
    mpki                             |       0.69 |       0.02 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4887353 |   46857212 |   44619522 |   45852123
    num cache misses                 |      42710 |     289841 |     256416 |     235393
    miss rate                        |      0.87% |      0.62% |      0.57% |      0.51%
    mpki                             |       3.61 |       2.45 |       2.27 |       2.03
  Cache L2                           |            |            |            |           
    num cache accesses               |      60309 |     378204 |     334003 |     295230
    num cache misses                 |      18157 |     216403 |     216612 |     195501
    miss rate                        |     30.11% |     57.22% |     64.85% |     66.22%
    mpki                             |       1.53 |       1.83 |       1.92 |       1.69
  Cache L3                           |            |            |            |           
    num cache accesses               |      27776 |     302487 |     293006 |     254124
    num cache misses                 |      13714 |        411 |        184 |        180
    miss rate                        |     49.37% |      0.14% |      0.06% |      0.07%
    mpki                             |       1.16 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |      14473 |          0 |          0 |          0
  average dram access latency (ns)   |      72.54 |        inf |        inf |        inf
  average dram queueing delay        |      19.11 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       9261 |         68 |         22 |         24
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
