                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   36779383 |  309765446 |  224737393 |   93841521
  Cycles                             |  242121200 |  242121200 |  242121200 |  242121200
  IPC                                |       0.15 |       1.28 |       0.93 |       0.39
  Time (ns)                          |   60530300 |   60530300 |   60530300 |   60530300
  Idle time (ns)                     |   54794749 |    7811438 |   23225482 |   44901546
  Idle time (%)                      |      90.5% |      12.9% |      38.4% |      74.2%
Branch predictor stats               |            |            |            |           
  num correct                        |    1529016 |    9645425 |    6745316 |    2917240
  num incorrect                      |      59492 |    1986697 |    1128412 |     389393
  misprediction rate                 |      3.75% |     17.08% |     14.33% |     11.78%
  mpki                               |       1.62 |       6.41 |       5.02 |       4.15
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    3553058 |   32483998 |   23029750 |    9888852
    num misses                       |        389 |       2915 |       4754 |       2547
    miss rate                        |      0.01% |      0.01% |      0.02% |      0.03%
    mpki                             |       0.01 |       0.01 |       0.02 |       0.03
  D-TLB                              |            |            |            |           
    num accesses                     |   13533912 |  109238745 |   80305415 |   31218820
    num misses                       |       8342 |     376661 |     423315 |     232133
    miss rate                        |      0.06% |      0.34% |      0.53% |      0.74%
    mpki                             |       0.23 |       1.22 |       1.88 |       2.47
  L2 TLB                             |            |            |            |           
    num accesses                     |       8731 |     379576 |     428069 |     234680
    num misses                       |       3808 |      80133 |      75485 |      17270
    miss rate                        |     43.61% |     21.11% |     17.63% |      7.36%
    mpki                             |       0.10 |       0.26 |       0.34 |       0.18
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    3553058 |   32483998 |   23029750 |    9888852
    num cache misses                 |      70309 |    2203334 |    2097464 |    1053767
    miss rate                        |      1.98% |      6.78% |      9.11% |     10.66%
    mpki                             |       1.91 |       7.11 |       9.33 |      11.23
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   13533912 |  109238745 |   80305415 |   31218820
    num cache misses                 |     268101 |    2375789 |    2473932 |    1193231
    miss rate                        |      1.98% |      2.17% |      3.08% |      3.82%
    mpki                             |       7.29 |       7.67 |      11.01 |      12.72
  Cache L2                           |            |            |            |           
    num cache accesses               |     338764 |    4583145 |    4573322 |    2247796
    num cache misses                 |     249623 |    1126246 |     989957 |     322624
    miss rate                        |     73.69% |     24.57% |     21.65% |     14.35%
    mpki                             |       6.79 |       3.64 |       4.40 |       3.44
  Cache L3                           |            |            |            |           
    num cache accesses               |     250052 |    1138598 |    1004184 |     332838
    num cache misses                 |     143091 |     159378 |      91813 |      58064
    miss rate                        |     57.22% |     14.00% |      9.14% |     17.45%
    mpki                             |       3.89 |       0.51 |       0.41 |       0.62
DRAM summary                         |            |            |            |           
  num dram accesses                  |     687553 |          0 |          0 |          0
  average dram access latency (ns)   |    3375.25 |        inf |        inf |        inf
  average dram queueing delay        |    3321.82 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      63179 |     105460 |      37587 |      23774
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
