                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   96167663 |  152486279 |  152266064 |  152064199 |  153108880 |  153760585 |  149920966 |  153506052 |   25095209 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  192183600 |  192183600 |  192183600 |  192183600 |  192183600 |  192183600 |  192183600 |  192183600 |  192183600 |  192183600 |  192183600 |  192183600 |  192183600 |  192183600 |  192183600 |  192183600
  IPC                                |       0.50 |       0.79 |       0.79 |       0.79 |       0.80 |       0.80 |       0.78 |       0.80 |       0.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   48045900 |   48045900 |   48045900 |   48045900 |   48045900 |   48045900 |   48045900 |   48045900 |   48045900 |   48045900 |   48045900 |   48045900 |   48045900 |   48045900 |   48045900 |   48045900
  Idle time (ns)                     |   31649866 |   21150754 |   21388992 |   21492470 |   21259047 |   21571685 |   21520366 |   21212594 |   44055942 |   48045900 |   48045900 |   48045900 |   48045900 |   48045900 |   48045900 |   48045900
  Idle time (%)                      |      65.9% |      44.0% |      44.5% |      44.7% |      44.2% |      44.9% |      44.8% |      44.2% |      91.7% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    5249900 |   14620494 |   14625901 |   14629472 |   14763551 |   14912933 |   14420794 |   14842178 |    1567432 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |     123655 |     311673 |     317517 |     311905 |     315236 |     314600 |     308014 |     315057 |       7805 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      2.30% |      2.09% |      2.12% |      2.09% |      2.09% |      2.07% |      2.09% |      2.08% |      0.50% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       1.29 |       2.04 |       2.09 |       2.05 |       2.06 |       2.05 |       2.05 |       2.05 |       0.31 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   11300950 |   13641881 |   13614549 |   13594225 |   13698893 |   13741489 |   13422839 |   13727035 |    2797326 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        584 |         78 |         75 |         75 |         75 |         75 |         75 |         75 |         87 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   24420114 |   37708586 |   37678500 |   37516095 |   37776839 |   37964199 |   36958881 |   37908032 |    7855556 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      17781 |     134833 |     143563 |     143648 |     145157 |     137591 |     132606 |     136507 |       2348 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.07% |      0.36% |      0.38% |      0.38% |      0.38% |      0.36% |      0.36% |      0.36% |      0.03% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.18 |       0.88 |       0.94 |       0.94 |       0.95 |       0.89 |       0.88 |       0.89 |       0.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      18365 |     134911 |     143638 |     143723 |     145232 |     137666 |     132681 |     136582 |       2435 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       3206 |       4271 |       5546 |       6175 |       5625 |       4156 |       4048 |       4056 |        951 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     17.46% |      3.17% |      3.86% |      4.30% |      3.87% |      3.02% |      3.05% |      2.97% |     39.06% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.03 |       0.04 |       0.04 |       0.04 |       0.03 |       0.03 |       0.03 |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   11300950 |   13641881 |   13614549 |   13594225 |   13698893 |   13741489 |   13422839 |   13727035 |    2797326 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      19500 |     303854 |     308538 |     302807 |     306562 |     305894 |     299203 |     306866 |       4840 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.17% |      2.23% |      2.27% |      2.23% |      2.24% |      2.23% |      2.23% |      2.24% |      0.17% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.20 |       1.99 |       2.03 |       1.99 |       2.00 |       1.99 |       2.00 |       2.00 |       0.19 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   24420114 |   37708586 |   37678500 |   37516095 |   37776839 |   37964199 |   36958881 |   37908032 |    7855556 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     372872 |    1109585 |    1082739 |    1073612 |    1079135 |    1082235 |    1056991 |    1087260 |     139864 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      1.53% |      2.94% |      2.87% |      2.86% |      2.86% |      2.85% |      2.86% |      2.87% |      1.78% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       3.88 |       7.28 |       7.11 |       7.06 |       7.05 |       7.04 |       7.05 |       7.08 |       5.57 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     446672 |    1418927 |    1396416 |    1381336 |    1390837 |    1393003 |    1362206 |    1399149 |     146204 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     356669 |     151193 |     113012 |     115094 |     118259 |     108567 |     121086 |     117824 |     123533 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     79.85% |     10.66% |      8.09% |      8.33% |      8.50% |      7.79% |      8.89% |      8.42% |     84.49% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       3.71 |       0.99 |       0.74 |       0.76 |       0.77 |       0.71 |       0.81 |       0.77 |       4.92 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     380837 |          0 |          0 |          0 |     374218 |          0 |          0 |          0 |     388757 |          0 |          0 |          0 |     401483 |          0 |          0 |          0
  average dram access latency (ns)   |     171.70 |        inf |        inf |        inf |     174.23 |        inf |        inf |        inf |     168.51 |        inf |        inf |        inf |     166.09 |        inf |        inf |        inf
  average dram queueing delay        |     118.27 |       0.00 |       0.00 |       0.00 |     120.80 |       0.00 |       0.00 |       0.00 |     115.08 |       0.00 |       0.00 |       0.00 |     112.66 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00% |      0.00% |      0.00% |      6.00% |      0.00% |      0.00% |      0.00% |      6.00% |      0.00% |      0.00% |      0.00% |      7.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     183209 |      77577 |      74350 |      74923 |      77552 |      69969 |      80863 |      76510 |      49356 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3283 |      10870 |      11387 |      11518 |      11698 |      12290 |      11058 |      12230 |        203 |          0 |          0 |          0 |          0 |          0 |          0 |          0
