                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |       3.73 |       7.11 |       7.05 |       7.13 |       7.12 |       7.08 |       7.47 |       7.18 |       7.16 |       5.57 |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     450966 |    1249936 |    1247834 |    1249810 |    1265331 |    1247000 |    1298548 |    1254726 |    1277272 |     146297 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     360948 |      90054 |      91513 |      87713 |      88647 |      94391 |     121683 |      87725 |      87000 |     123455 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     80.04% |      7.20% |      7.33% |      7.02% |      7.01% |      7.57% |      9.37% |      6.99% |      6.81% |     84.39% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       3.58 |       0.70 |       0.70 |       0.68 |       0.68 |       0.73 |       0.94 |       0.68 |       0.66 |       4.92 |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     340684 |          0 |          0 |          0 |     371965 |          0 |          0 |          0 |     348960 |          0 |          0 |          0 |     383127 |          0 |          0 |          0
  average dram access latency (ns)   |     170.46 |        inf |        inf |        inf |     161.76 |        inf |        inf |        inf |     169.95 |        inf |        inf |        inf |     159.91 |        inf |        inf |        inf
  average dram queueing delay        |     117.04 |       0.00 |       0.00 |       0.00 |     108.33 |       0.00 |       0.00 |       0.00 |     116.52 |       0.00 |       0.00 |       0.00 |     106.48 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00% |      5.00% |      0.00% |      0.00% |      0.00% |      5.00% |      0.00% |      0.00% |      0.00% |      5.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     186791 |      59506 |      59789 |      56032 |      56717 |      60897 |      57509 |      56875 |      55470 |      49270 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2802 |       9684 |      10466 |      10774 |      10945 |      11479 |       9606 |       9747 |      10956 |        218 |          0 |          0 |          0 |          0 |          0 |          0
