CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.00       0.03       0.03       0.03
depend-fp              0.00       0.10       0.11       0.10
depend-branch          0.00       0.02       0.02       0.02
issue-port2            0.00       0.02       0.02       0.01
branch                 0.00       0.05       0.05       0.05
mem-l1d                0.00       0.07       0.07       0.08
mem-l3                 0.00       0.13       0.13       0.12
sync-futex            21.77       0.01       0.02       0.01
sync-unscheduled        0.00       0.01       0.01       0.01
imbalance-start        0.00       0.01       0.01       0.01
other                  0.33       0.01       0.01       0.01

total                 22.34       0.71       0.72       0.70
