                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2411309 |   29372092 |   29303819 |   35152467
  Cycles                             |   25356000 |   25356000 |   25356000 |   25356000
  IPC                                |       0.10 |       1.16 |       1.16 |       1.39
  Time (ns)                          |    6339000 |    6339000 |    6339000 |    6339000
  Idle time (ns)                     |    5489642 |    1741408 |    1755934 |     849140
  Idle time (%)                      |      86.6% |      27.5% |      27.7% |      13.4%
Branch predictor stats               |            |            |            |           
  num correct                        |     333230 |    2802138 |    2792873 |    3349791
  num incorrect                      |      16628 |      89655 |      88457 |     105911
  misprediction rate                 |      4.75% |      3.10% |      3.07% |      3.06%
  mpki                               |       6.90 |       3.05 |       3.02 |       3.01
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     206843 |    3891119 |    3880865 |    4655383
    num misses                       |        190 |         70 |         46 |         46
    miss rate                        |      0.09% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     817328 |   10366062 |   10339602 |   12402405
    num misses                       |       1540 |       1731 |        423 |        588
    miss rate                        |      0.19% |      0.02% |      0.00% |      0.00%
    mpki                             |       0.64 |       0.06 |       0.01 |       0.02
  L2 TLB                             |            |            |            |           
    num accesses                     |       1730 |       1801 |        469 |        634
    num misses                       |        494 |        213 |        151 |        151
    miss rate                        |     28.55% |     11.83% |     32.20% |     23.82%
    mpki                             |       0.20 |       0.01 |       0.01 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     206843 |    3891119 |    3880865 |    4655383
    num cache misses                 |       2899 |       2071 |        616 |        642
    miss rate                        |      1.40% |      0.05% |      0.02% |      0.01%
    mpki                             |       1.20 |       0.07 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     817328 |   10366062 |   10339602 |   12402405
    num cache misses                 |      17479 |     116804 |     116904 |     139715
    miss rate                        |      2.14% |      1.13% |      1.13% |      1.13%
    mpki                             |       7.25 |       3.98 |       3.99 |       3.97
  Cache L2                           |            |            |            |           
    num cache accesses               |      20828 |     119177 |     117827 |     140711
    num cache misses                 |      13599 |       3274 |       3065 |       3355
    miss rate                        |     65.29% |      2.75% |      2.60% |      2.38%
    mpki                             |       5.64 |       0.11 |       0.10 |       0.10
  Cache L3                           |            |            |            |           
    num cache accesses               |      14054 |       3584 |       3379 |       3718
    num cache misses                 |      11954 |       2255 |       2253 |       2510
    miss rate                        |     85.06% |     62.92% |     66.68% |     67.51%
    mpki                             |       4.96 |       0.08 |       0.08 |       0.07
DRAM summary                         |            |            |            |           
  num dram accesses                  |      18733 |          0 |          0 |          0
  average dram access latency (ns)   |     209.01 |        inf |        inf |        inf
  average dram queueing delay        |     155.58 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8163 |        583 |        553 |        549
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
