CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.00       0.03       0.03       0.03
depend-fp              0.00       0.10       0.11       0.10
depend-branch          0.00       0.02       0.02       0.02
issue-port2            0.00       0.02       0.02       0.02
branch                 0.00       0.06       0.06       0.06
mem                    0.17       0.00       0.00       0.00
mem-l1d                0.00       0.07       0.07       0.07
mem-l3                 0.00       0.15       0.14       0.12
sync-futex            13.37       0.01       0.02       0.02
sync-unscheduled        0.00       0.01       0.01       0.01
imbalance-start        0.00       0.02       0.02       0.02
other                  0.16       0.01       0.01       0.01

total                 13.95       0.75       0.75       0.73
