CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.00       0.06       0.06       0.07
depend-branch          0.00       0.02       0.02       0.00
issue-port2            0.00       0.02       0.02       0.00
issue-port015          0.00       0.02       0.02       0.03
branch                 0.00       0.14       0.11       0.09
ifetch                 0.00       0.08       0.11       0.13
mem-l1d                0.00       0.10       0.09       0.09
mem-l3                 0.00       0.01       0.01       0.00
mem-dram               0.15       0.02       0.02       0.05
sync-futex             4.86       0.00       0.41       0.73
sync-unscheduled        0.00       0.03       0.05       0.06
imbalance-start        0.00       0.00       0.01       0.07
imbalance-end          0.00       0.07       0.00       1.23
other                  0.21       0.01       0.02       0.06

total                  5.47       0.83       1.22       2.85
