                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   99571481 |  149456401 |  150983031 |  150575441 |  155810439 |  151314862 |  151365825 |  150982556 |  153491768 |   25096093 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  179605800 |  179605800 |  179605800 |  179605800 |  179605800 |  179605800 |  179605800 |  179605800 |  179605800 |  179605800 |  179605800 |  179605800 |  179605800 |  179605800 |  179605800 |  179605800
  IPC                                |       0.55 |       0.83 |       0.84 |       0.84 |       0.87 |       0.84 |       0.84 |       0.84 |       0.85 |       0.14 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   59868600 |   59868600 |   59868600 |   59868600 |   59868600 |   59868600 |   59868600 |   59868600 |   59868600 |   59868600 |   59868600 |   59868600 |   59868600 |   59868600 |   59868600 |   59868600
  Idle time (ns)                     |   39378091 |   26779656 |   26696256 |   26495221 |   26011402 |   26414372 |   26602313 |   26826563 |   26347406 |   55061453 |   59868600 |   59868600 |   59868600 |   59868600 |   59868600 |   59868600
  Idle time (%)                      |      65.8% |      44.7% |      44.6% |      44.3% |      43.4% |      44.1% |      44.4% |      44.8% |      44.0% |      92.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    5498235 |   14297625 |   14426807 |   14394660 |   14905741 |   14491489 |   14354762 |   14474577 |   14622010 |    1567278 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |     128341 |     268633 |     268613 |     268930 |     276063 |     267781 |     272323 |     268305 |     274733 |       7960 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      2.28% |      1.84% |      1.83% |      1.83% |      1.82% |      1.81% |      1.86% |      1.82% |      1.84% |      0.51% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       1.29 |       1.80 |       1.78 |       1.79 |       1.77 |       1.77 |       1.80 |       1.78 |       1.79 |       0.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   10959138 |   13341026 |   13484689 |   13450810 |   13928789 |   13531839 |   13480557 |   13487060 |   13692199 |    2800761 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        876 |         91 |         92 |         92 |         92 |         91 |         94 |         85 |         85 |        111 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   25451461 |   37107594 |   37397708 |   37330717 |   38550047 |   37456133 |   37682694 |   37456820 |   38063598 |    7855948 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      11980 |     137014 |     135452 |     139201 |     140552 |     138734 |     139825 |     137661 |     138397 |       2350 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.05% |      0.37% |      0.36% |      0.37% |      0.36% |      0.37% |      0.37% |      0.37% |      0.36% |      0.03% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.12 |       0.92 |       0.90 |       0.92 |       0.90 |       0.92 |       0.92 |       0.91 |       0.90 |       0.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      12856 |     137105 |     135544 |     139293 |     140644 |     138825 |     139919 |     137746 |     138482 |       2461 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       3301 |      12834 |      12002 |      13671 |      10527 |      12223 |      11463 |      10381 |      10272 |        951 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     25.68% |      9.36% |      8.85% |      9.81% |      7.48% |      8.80% |      8.19% |      7.54% |      7.42% |     38.64% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.09 |       0.08 |       0.09 |       0.07 |       0.08 |       0.08 |       0.07 |       0.07 |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   10959138 |   13341026 |   13484689 |   13450810 |   13928789 |   13531839 |   13480557 |   13487060 |   13692199 |    2800761 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      19860 |     320130 |     320210 |     319134 |     328154 |     319453 |     324612 |     322402 |     325832 |       4469 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.18% |      2.40% |      2.37% |      2.37% |      2.36% |      2.36% |      2.41% |      2.39% |      2.38% |      0.16% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.20 |       2.14 |       2.12 |       2.12 |       2.11 |       2.11 |       2.14 |       2.14 |       2.12 |       0.18 |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   25451461 |   37107594 |   37397708 |   37330717 |   38550047 |   37456133 |   37682694 |   37456820 |   38063598 |    7855948 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     376253 |    1122256 |    1119648 |    1122097 |    1150150 |    1123641 |    1169503 |    1125514 |    1143896 |     139867 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      1.48% |      3.02% |      2.99% |      3.01% |      2.98% |      3.00% |      3.10% |      3.00% |      3.01% |      1.78% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
