CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.15       1.81       1.81       0.00
depend                 0.15       0.00       0.00       0.00
depend-int             0.00       0.08       0.08       0.00
depend-fp              0.00       0.37       0.37       0.00
branch                 0.83       0.31       0.31       0.00
mem-l1d                0.13       0.05       0.05       0.00
sync-futex             6.85       0.00       0.00       0.00
sync-unscheduled        0.00       0.70       0.70       0.00
imbalance-end          0.00       0.20       0.20   458155888.00
other                  0.07       0.03       0.03    8000.00

total                  9.17       3.54       3.54   458163888.00
