                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   96167619 |  153236299 |  153464416 |  150224004 |  151117967 |  154367849 |  152581470 |  152175957 |   25095196 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  195071200 |  195071200 |  195071200 |  195071200 |  195071200 |  195071200 |  195071200 |  195071200 |  195071200 |  195071200 |  195071200 |  195071200 |  195071200 |  195071200 |  195071200 |  195071200
  IPC                                |       0.49 |       0.79 |       0.79 |       0.77 |       0.77 |       0.79 |       0.78 |       0.78 |       0.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   48767800 |   48767800 |   48767800 |   48767800 |   48767800 |   48767800 |   48767800 |   48767800 |   48767800 |   48767800 |   48767800 |   48767800 |   48767800 |   48767800 |   48767800 |   48767800
  Idle time (ns)                     |   32337204 |   21461927 |   21394790 |   21478622 |   21443241 |   21571550 |   21691739 |   21444988 |   44777477 |   48767800 |   48767800 |   48767800 |   48767800 |   48767800 |   48767800 |   48767800
  Idle time (%)                      |      66.3% |      44.0% |      43.9% |      44.0% |      44.0% |      44.2% |      44.5% |      44.0% |      91.8% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    5250105 |   14683585 |   14769185 |   14484098 |   14568280 |   14907128 |   14745018 |   14651550 |    1567267 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |     123448 |     316639 |     316905 |     308970 |     313880 |     316110 |     316613 |     312130 |       7970 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      2.30% |      2.11% |      2.10% |      2.09% |      2.11% |      2.08% |      2.10% |      2.09% |      0.51% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       1.28 |       2.07 |       2.07 |       2.06 |       2.08 |       2.05 |       2.08 |       2.05 |       0.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   11300950 |   13709497 |   13731522 |   13445631 |   13527211 |   13800575 |   13636894 |   13625266 |    2797323 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        560 |         81 |         77 |         78 |         78 |         79 |         79 |         79 |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   24420076 |   37972397 |   37870294 |   37046162 |   37328264 |   38093046 |   37751036 |   37497100 |    7855549 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      11777 |     140500 |     136329 |     133113 |     131845 |     132819 |     134339 |     130336 |       2376 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.05% |      0.37% |      0.36% |      0.36% |      0.35% |      0.35% |      0.36% |      0.35% |      0.03% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.12 |       0.92 |       0.89 |       0.89 |       0.87 |       0.86 |       0.88 |       0.86 |       0.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      12337 |     140581 |     136406 |     133191 |     131923 |     132898 |     134418 |     130415 |       2464 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       3170 |       8670 |      11588 |      10108 |      10563 |       7248 |       7675 |       9046 |        946 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     25.70% |      6.17% |      8.50% |      7.59% |      8.01% |      5.45% |      5.71% |      6.94% |     38.39% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.06 |       0.08 |       0.07 |       0.07 |       0.05 |       0.05 |       0.06 |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   11300950 |   13709497 |   13731522 |   13445631 |   13527211 |   13800575 |   13636894 |   13625266 |    2797323 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      19560 |     313077 |     313100 |     305538 |     308958 |     314408 |     313584 |     309026 |       4863 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.17% |      2.28% |      2.28% |      2.27% |      2.28% |      2.28% |      2.30% |      2.27% |      0.17% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.20 |       2.04 |       2.04 |       2.03 |       2.04 |       2.04 |       2.06 |       2.03 |       0.19 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   24420076 |   37972397 |   37870294 |   37046162 |   37328264 |   38093046 |   37751036 |   37497100 |    7855549 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     372788 |    1123189 |    1085357 |    1058568 |    1071868 |    1090965 |    1084741 |    1069853 |     139865 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      1.53% |      2.96% |      2.87% |      2.86% |      2.87% |      2.86% |      2.87% |      2.85% |      1.78% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
