CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.03       0.05       0.05       0.05
depend-fp              0.00       0.23       0.23       0.24
depend-branch          0.03       0.00       0.00       0.00
issue-port2            0.01       0.00       0.00       0.00
branch                 0.23       0.08       0.07       0.08
ifetch                 0.01       0.00       0.00       0.00
mem-l1d                0.06       0.00       0.00       0.00
sync-futex             0.12       0.00       0.00       0.00
imbalance-start        0.00       2.84       2.88       2.88
imbalance-end          0.00       0.68       0.71       0.71
other                  0.02       0.06       0.05       0.05

total                  0.77       4.19       4.25       4.26
