CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.03       0.05       0.05       0.05
depend-fp              0.00       0.23       0.23       0.24
depend-branch          0.03       0.00       0.00       0.00
issue-port2            0.01       0.00       0.00       0.00
branch                 0.23       0.09       0.08       0.08
mem-l1d                0.06       0.04       0.03       0.03
sync-futex             0.43       0.00       0.00       0.00
imbalance-start        0.00       0.83       0.83       0.83
imbalance-end          0.00       0.20       0.22       0.21
other                  0.03       0.03       0.02       0.02

total                  1.08       1.73       1.72       1.73
