                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2386557 |  112927910 |  112921517 |  112914840 |  112916293 |  112914840 |  112914855 |  112914840 |  112914855 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   72386800 |   72386800 |   72386800 |   72386800 |   72386800 |   72386800 |   72386800 |   72386800 |   72386800 |   72386800 |   72386800 |   72386800 |   72386800 |   72386800 |   72386800 |   72386800
  IPC                                |       0.03 |       1.56 |       1.56 |       1.56 |       1.56 |       1.56 |       1.56 |       1.56 |       1.56 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   18096700 |   18096700 |   18096700 |   18096700 |   18096700 |   18096700 |   18096700 |   18096700 |   18096700 |   18096700 |   18096700 |   18096700 |   18096700 |   18096700 |   18096700 |   18096700
  Idle time (ns)                     |   17233282 |     879636 |     880110 |     862764 |     870709 |     866934 |     863951 |     866189 |     863644 |   18096700 |   18096700 |   18096700 |   18096700 |   18096700 |   18096700 |   18096700
  Idle time (%)                      |      95.2% |       4.9% |       4.9% |       4.8% |       4.8% |       4.8% |       4.8% |       4.8% |       4.8% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     329887 |   10545928 |   10545154 |   10545561 |   10545747 |   10545561 |   10545572 |   10545561 |   10545572 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      16219 |     353411 |     353329 |     351996 |     352007 |     351996 |     351987 |     351996 |     351987 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      4.69% |      3.24% |      3.24% |      3.23% |      3.23% |      3.23% |      3.23% |      3.23% |      3.23% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       6.80 |       3.13 |       3.13 |       3.12 |       3.12 |       3.12 |       3.12 |       3.12 |       3.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     204123 |   15169447 |   15168599 |   15167746 |   15167944 |   15167746 |   15167752 |   15167746 |   15167752 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        185 |         45 |         45 |         45 |         45 |         45 |         45 |         45 |         45 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.09% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     806676 |   40130874 |   40128508 |   40125991 |   40126502 |   40125992 |   40125993 |   40125991 |   40125993 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       2234 |       2030 |       5447 |       1956 |       1972 |       1956 |       1956 |       1956 |       1956 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.28% |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
