Beat	Tag	Timestamp	Global Rate	Window Rate	Instant Rate	Min Rate	Max Rate
0	-1	847500	0.000000	0.000000	0.000000	0.000000	100.000000
1	0	857000	210526.315789	105263.156250	105263.157895	0.000000	100.000000
2	1	8325100	401.198245	267.465485	133.902867	0.000000	100.000000
3	2	15765600	268.130660	201.097992	134.399570	0.000000	100.000000
4	3	23209000	223.598596	178.878876	134.347207	0.000000	100.000000
5	4	30624800	201.495770	167.913147	134.847218	0.000000	100.000000
6	5	38030500	188.258075	161.364075	135.031125	0.000000	100.000000
7	6	45438200	179.409608	156.983414	134.994668	0.000000	100.000000
8	7	52845800	173.082582	153.851181	134.996490	0.000000	100.000000
