                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2413357 |  331936946 |  331828892 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  211144400 |  211144400 |  211144400 |  211144400 |  211144400 |  211144400 |  211144400 |  211144400 |  211144400 |  211144400 |  211144400 |  211144400 |  211144400 |  211144400 |  211144400 |  211144400
  IPC                                |       0.01 |       1.57 |       1.57 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100
  Idle time (ns)                     |   51904316 |     882126 |     935445 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100 |   52786100
  Idle time (%)                      |      98.3% |       1.7% |       1.8% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     333226 |   30829130 |   30816219 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      16716 |    1002359 |     999072 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      4.78% |      3.15% |      3.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       6.93 |       3.02 |       3.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     207453 |   46993909 |   46977823 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        203 |        112 |         46 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
