                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   165910972 |  1418340371 |  1333897745 |  1201166795
  Cycles                             |  1022914400 |  1022914400 |  1022914400 |  1022914400
  IPC                                |        0.16 |        1.39 |        1.30 |        1.17
  Time (ns)                          |   255728600 |   255728600 |   255728600 |   255728600
  Idle time (ns)                     |   229394618 |    14332909 |    37727212 |    59179983
  Idle time (%)                      |       89.7% |        5.6% |       14.8% |       23.1%
Branch predictor stats               |             |             |             |            
  num correct                        |     6791921 |    41462325 |    38609978 |    34710193
  num incorrect                      |      339455 |     8200842 |     7380623 |     6609272
  misprediction rate                 |       4.76% |      16.51% |      16.05% |      16.00%
  mpki                               |        2.05 |        5.78 |        5.53 |        5.50
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    15882258 |   144040571 |   134724754 |   121296343
    num misses                       |         853 |       26985 |       29169 |       26576
    miss rate                        |       0.01% |       0.02% |       0.02% |       0.02%
    mpki                             |        0.01 |        0.02 |        0.02 |        0.02
  D-TLB                              |             |             |             |            
    num accesses                     |    61093550 |   519776165 |   490678115 |   441637195
    num misses                       |       70103 |     2236630 |     2120256 |     2075513
    miss rate                        |       0.11% |       0.43% |       0.43% |       0.47%
    mpki                             |        0.42 |        1.58 |        1.59 |        1.73
  L2 TLB                             |             |             |             |            
    num accesses                     |       70956 |     2263615 |     2149425 |     2102089
    num misses                       |       13628 |      452465 |      388643 |      369572
    miss rate                        |      19.21% |      19.99% |      18.08% |      17.58%
    mpki                             |        0.08 |        0.32 |        0.29 |        0.31
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    15882258 |   144040571 |   134724754 |   121296343
    num cache misses                 |      291285 |    10819023 |    10744263 |     9668442
    miss rate                        |       1.83% |       7.51% |       7.97% |       7.97%
    mpki                             |        1.76 |        7.63 |        8.05 |        8.05
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    61093550 |   519776165 |   490678115 |   441637195
    num cache misses                 |     1039570 |    13664394 |    13724931 |    12550715
    miss rate                        |       1.70% |       2.63% |       2.80% |       2.84%
    mpki                             |        6.27 |        9.63 |       10.29 |       10.45
  Cache L2                           |             |             |             |            
    num cache accesses               |     1332591 |    24488849 |    24472469 |    22221403
    num cache misses                 |      996021 |     5367767 |     5270445 |     4711022
    miss rate                        |      74.74% |      21.92% |      21.54% |      21.20%
    mpki                             |        6.00 |        3.78 |        3.95 |        3.92
  Cache L3                           |             |             |             |            
    num cache accesses               |      998063 |     5412525 |     5315831 |     4752928
    num cache misses                 |      602616 |     1145922 |      372729 |      335015
    miss rate                        |      60.38% |      21.17% |       7.01% |       7.05%
    mpki                             |        3.63 |        0.81 |        0.28 |        0.28
DRAM summary                         |             |             |             |            
  num dram accesses                  |     3606750 |           0 |           0 |           0
  average dram access latency (ns)   |     1170.90 |         inf |         inf |         inf
  average dram queueing delay        |     1117.47 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      11.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |      287778 |      945570 |      174805 |      156844
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
