                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  1326904052 |    84667046 |    83362975 |    82340207
  Cycles                             |  2239445200 |  2239445200 |  2239445200 |  2239445200
  IPC                                |        0.59 |        0.04 |        0.04 |        0.04
  Time (ns)                          |   559861300 |   559861300 |   559861300 |   559861300
  Idle time (ns)                     |    24166291 |   535791271 |   536460151 |   537296420
  Idle time (%)                      |        4.3% |       95.7% |       95.8% |       96.0%
Branch predictor stats               |             |             |             |            
  num correct                        |   206533802 |     5250096 |     5154136 |     5126652
  num incorrect                      |    18947009 |      328976 |      363739 |      343241
  misprediction rate                 |       8.40% |       5.90% |       6.59% |       6.28%
  mpki                               |       14.28 |        3.89 |        4.36 |        4.17
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   236912575 |     8605661 |     8490636 |     8445905
    num misses                       |         294 |          81 |          81 |          81
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   489826163 |    27395024 |    26957695 |    26658951
    num misses                       |    12717103 |     2007337 |     1824202 |     1839106
    miss rate                        |       2.60% |       7.33% |       6.77% |       6.90%
    mpki                             |        9.58 |       23.71 |       21.88 |       22.34
  L2 TLB                             |             |             |             |            
    num accesses                     |    12717397 |     2007418 |     1824283 |     1839187
    num misses                       |     5798692 |     1012927 |      954501 |      943387
    miss rate                        |      45.60% |      50.46% |      52.32% |      51.29%
    mpki                             |        4.37 |       11.96 |       11.45 |       11.46
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   236912575 |     8605661 |     8490636 |     8445905
    num cache misses                 |      519185 |       17350 |       16605 |       19602
    miss rate                        |       0.22% |       0.20% |       0.20% |       0.23%
    mpki                             |        0.39 |        0.20 |        0.20 |        0.24
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   489826163 |    27395024 |    26957695 |    26658951
    num cache misses                 |    15496563 |     1814518 |     1760817 |     1730578
    miss rate                        |       3.16% |       6.62% |       6.53% |       6.49%
    mpki                             |       11.68 |       21.43 |       21.12 |       21.02
  Cache L2                           |             |             |             |            
    num cache accesses               |    17292755 |     1832007 |     1777589 |     1750333
    num cache misses                 |    12852874 |      921898 |      774474 |      758086
    miss rate                        |      74.33% |      50.32% |      43.57% |      43.31%
    mpki                             |        9.69 |       10.89 |        9.29 |        9.21
  Cache L3                           |             |             |             |            
    num cache accesses               |    14131089 |      922037 |      774641 |      758239
    num cache misses                 |     4477690 |        5249 |        5392 |        4493
    miss rate                        |      31.69% |       0.57% |       0.70% |       0.59%
    mpki                             |        3.37 |        0.06 |        0.06 |        0.05
DRAM summary                         |             |             |             |            
  num dram accesses                  |     7117847 |           0 |           0 |           0
  average dram access latency (ns)   |    21197.24 |         inf |         inf |         inf
  average dram queueing delay        |    21143.81 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      10.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |     3632254 |        3134 |        3047 |        2659
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
