CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.00       0.06       0.06       0.06
depend-branch          0.00       0.02       0.01       0.00
issue-port2            0.00       0.02       0.03       0.00
issue-port015          0.00       0.02       0.02       0.03
branch                 0.00       0.12       0.09       0.07
ifetch                 0.07       0.07       0.09       0.11
mem-l1d                0.00       0.08       0.07       0.06
mem-l3                 0.00       0.02       0.03       0.00
mem-dram               0.15       0.02       0.02       0.03
sync-futex             5.96       0.00       0.36       0.55
sync-unscheduled        0.00       0.02       0.04       0.05
imbalance              0.00       0.00       0.01       0.00
imbalance-start        0.00       0.00       0.00       0.05
imbalance-end          0.00       0.07       0.00       1.27
other                  0.16       0.01       0.01       0.07

total                  6.58       0.78       1.08       2.58
