                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   12186896 |  646656026 |  642955181 |  660808101
  Cycles                             |  460810000 |  460810000 |  460810000 |  460810000
  IPC                                |       0.03 |       1.40 |       1.40 |       1.43
  Time (ns)                          |  115202500 |  115202500 |  115202500 |  115202500
  Idle time (ns)                     |  113441746 |    3428929 |    3942040 |    4024681
  Idle time (%)                      |      98.5% |       3.0% |       3.4% |       3.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     906901 |   83519647 |   83900988 |   87226063
  num incorrect                      |      26973 |    1473485 |    1357703 |    1427184
  misprediction rate                 |      2.89% |      1.73% |      1.59% |      1.61%
  mpki                               |       2.21 |       2.28 |       2.11 |       2.16
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1732876 |   70758008 |   69520399 |   72831621
    num misses                       |        198 |         45 |         44 |         44
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    5015845 |  255245056 |  254384736 |  261848855
    num misses                       |       2304 |        348 |        172 |        321
    miss rate                        |      0.05% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.19 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2502 |        393 |        216 |        365
    num misses                       |        532 |        141 |        133 |        132
    miss rate                        |     21.26% |     35.88% |     61.57% |     36.16%
    mpki                             |       0.04 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1732876 |   70758008 |   69520399 |   72831621
    num cache misses                 |       7233 |       2253 |       1360 |       1355
    miss rate                        |      0.42% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.59 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    5015845 |  255245056 |  254384736 |  261848855
    num cache misses                 |      43022 |    2031713 |    1796930 |    1679226
    miss rate                        |      0.86% |      0.80% |      0.71% |      0.64%
    mpki                             |       3.53 |       3.14 |       2.79 |       2.54
  Cache L2                           |            |            |            |           
    num cache accesses               |      59688 |    2566582 |    2284430 |    2040802
    num cache misses                 |      18351 |    1559128 |    1564421 |    1411168
    miss rate                        |     30.74% |     60.75% |     68.48% |     69.15%
    mpki                             |       1.51 |       2.41 |       2.43 |       2.14
  Cache L3                           |            |            |            |           
    num cache accesses               |      27994 |    2091992 |    2050630 |    1771468
    num cache misses                 |      13788 |        420 |        204 |        164
    miss rate                        |     49.25% |      0.02% |      0.01% |      0.01%
    mpki                             |       1.13 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |      14562 |          0 |          0 |          0
  average dram access latency (ns)   |      72.86 |        inf |        inf |        inf
  average dram queueing delay        |      19.43 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       9274 |         66 |         33 |         24
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
