                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2290782 |          0 |          0 |          0
  Cycles                             |    3202000 |    3202000 |    3202000 |    3202000
  IPC                                |       0.72 |       0.00 |       0.00 |       0.00
  Time (ns)                          |     800500 |     800500 |     800500 |     800500
  Idle time (ns)                     |        201 |     800500 |     800500 |     800500
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     316037 |          0 |          0 |          0
  num incorrect                      |      14600 |          0 |          0 |          0
  misprediction rate                 |      4.42% |      0.00% |      0.00% |      0.00%
  mpki                               |       6.37 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     187439 |          0 |          0 |          0
    num misses                       |        166 |          0 |          0 |          0
    miss rate                        |      0.09% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.07 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     771193 |          0 |          0 |          0
    num misses                       |       1866 |          0 |          0 |          0
    miss rate                        |      0.24% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.81 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2032 |          0 |          0 |          0
    num misses                       |        464 |          0 |          0 |          0
    miss rate                        |     22.83% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.20 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     187439 |          0 |          0 |          0
    num cache misses                 |       2143 |          0 |          0 |          0
    miss rate                        |      1.14% |       inf% |       inf% |       inf%
    mpki                             |       0.94 |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     771193 |          0 |          0 |          0
    num cache misses                 |      16952 |          0 |          0 |          0
    miss rate                        |      2.20% |       inf% |       inf% |       inf%
    mpki                             |       7.40 |        inf |        inf |        inf
  Cache L2                           |            |            |            |           
    num cache accesses               |      19417 |          0 |          0 |          0
    num cache misses                 |      12810 |          0 |          0 |          0
    miss rate                        |     65.97% |       inf% |       inf% |       inf%
    mpki                             |       5.59 |        inf |        inf |        inf
  Cache L3                           |            |            |            |           
    num cache accesses               |      13138 |          0 |          0 |          0
    num cache misses                 |      11330 |          0 |          0 |          0
    miss rate                        |     86.24% |       inf% |       inf% |       inf%
    mpki                             |       4.95 |        inf |        inf |        inf
DRAM summary                         |            |            |            |           
  num dram accesses                  |      11328 |          0 |          0 |          0
  average dram access latency (ns)   |      65.44 |        inf |        inf |        inf
  average dram queueing delay        |      12.01 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     11.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8068 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
