CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.15       1.85       1.81       0.00
depend-int             0.08       0.08       0.08       0.00
depend-fp              0.00       0.37       0.37       0.00
branch                 0.85       0.35       0.31       0.00
mem-l1d                0.14       0.05       0.05       0.00
sync-futex             4.99       0.00       0.00       0.00
sync-unscheduled        0.00       1.01       1.01       0.00
imbalance-end          0.00       0.28       0.36   366163128.00
other                  0.14       0.03       0.03    8000.00

total                  7.34       4.02       4.01   366171128.00
