                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   36980281 |  294007101 |  247854792 |   97964042
  Cycles                             |  237830000 |  237830000 |  237830000 |  237830000
  IPC                                |       0.16 |       1.24 |       1.04 |       0.41
  Time (ns)                          |   59457500 |   59457500 |   59457500 |   59457500
  Idle time (ns)                     |   53714566 |    8292982 |   17966323 |   42026231
  Idle time (%)                      |      90.3% |      13.9% |      30.2% |      70.7%
Branch predictor stats               |            |            |            |           
  num correct                        |    1565520 |    9463886 |    7816649 |    3361946
  num incorrect                      |      59585 |    1974888 |    1444830 |     442990
  misprediction rate                 |      3.67% |     17.26% |     15.60% |     11.64%
  mpki                               |       1.61 |       6.72 |       5.83 |       4.52
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    3553236 |   31203878 |   26067205 |   10574514
    num misses                       |        435 |       2847 |       3104 |       2672
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.03
  D-TLB                              |            |            |            |           
    num accesses                     |   13569882 |  102899790 |   86500304 |   32453554
    num misses                       |      10939 |     334765 |     359611 |     195691
    miss rate                        |      0.08% |      0.33% |      0.42% |      0.60%
    mpki                             |       0.30 |       1.14 |       1.45 |       2.00
  L2 TLB                             |            |            |            |           
    num accesses                     |      11374 |     337612 |     362715 |     198363
    num misses                       |       3884 |      60565 |      58656 |      15436
    miss rate                        |     34.15% |     17.94% |     16.17% |      7.78%
    mpki                             |       0.11 |       0.21 |       0.24 |       0.16
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    3553236 |   31203878 |   26067205 |   10574514
    num cache misses                 |      70306 |    2326984 |    2183436 |    1352828
    miss rate                        |      1.98% |      7.46% |      8.38% |     12.79%
    mpki                             |       1.90 |       7.91 |       8.81 |      13.81
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   13569882 |  102899790 |   86500304 |   32453554
    num cache misses                 |     268512 |    2017034 |    2236272 |    1034084
    miss rate                        |      1.98% |      1.96% |      2.59% |      3.19%
    mpki                             |       7.26 |       6.86 |       9.02 |      10.56
  Cache L2                           |            |            |            |           
    num cache accesses               |     339136 |    4348098 |    4422296 |    2387979
    num cache misses                 |     249719 |     813225 |     903447 |     291263
    miss rate                        |     73.63% |     18.70% |     20.43% |     12.20%
    mpki                             |       6.75 |       2.77 |       3.65 |       2.97
  Cache L3                           |            |            |            |           
    num cache accesses               |     250102 |     826022 |     917322 |     301431
    num cache misses                 |     143310 |     159972 |      89604 |      56105
    miss rate                        |     57.30% |     19.37% |      9.77% |     18.61%
    mpki                             |       3.88 |       0.54 |       0.36 |       0.57
DRAM summary                         |            |            |            |           
  num dram accesses                  |     686743 |          0 |          0 |          0
  average dram access latency (ns)   |    2857.81 |        inf |        inf |        inf
  average dram queueing delay        |    2804.38 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      62922 |     105942 |      35914 |      21451
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
