CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.00       0.07       0.07       0.07
depend-branch          0.00       0.02       0.02       0.00
issue-port2            0.00       0.01       0.01       0.00
issue-port015          0.00       0.02       0.03       0.03
branch                 0.00       0.15       0.12       0.10
ifetch                 0.00       0.08       0.12       0.15
mem-l1d                0.00       0.10       0.10       0.10
mem-dram               0.13       0.01       0.02       0.03
sync-futex             4.51       0.00       0.43       0.78
sync-unscheduled        0.00       0.03       0.05       0.06
imbalance-start        0.00       0.00       0.01       0.07
imbalance-end          0.00       0.07       0.00       1.13
other                  0.21       0.02       0.02       0.05

total                  5.10       0.84       1.25       2.82
