                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   99491419 |  556129145 |  555809764 |   25096207
  Cycles                             |  387553200 |  387553200 |  387553200 |  387553200
  IPC                                |       0.26 |       1.43 |       1.43 |       0.06
  Time (ns)                          |   96888300 |   96888300 |   96888300 |   96888300
  Idle time (ns)                     |   84510616 |   15462534 |   15477765 |   94176005
  Idle time (%)                      |      87.2% |      16.0% |      16.0% |      97.2%
Branch predictor stats               |            |            |            |           
  num correct                        |    5485208 |   49547426 |   49569990 |    1567327
  num incorrect                      |     128970 |     897916 |     895075 |       7915
  misprediction rate                 |      2.30% |      1.78% |      1.77% |      0.50%
  mpki                               |       1.30 |       1.61 |       1.61 |       0.32
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   11606562 |   48384926 |   48358580 |    2796941
    num misses                       |        844 |         76 |         74 |         85
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   25416712 |  131413511 |  131176856 |    7855948
    num misses                       |      10510 |     560479 |     552603 |       2344
    miss rate                        |      0.04% |      0.43% |      0.42% |      0.03%
    mpki                             |       0.11 |       1.01 |       0.99 |       0.09
  L2 TLB                             |            |            |            |           
    num accesses                     |      11354 |     560555 |     552677 |       2429
    num misses                       |       3136 |      19659 |      19992 |        951
    miss rate                        |     27.62% |      3.51% |      3.62% |     39.15%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   11606562 |   48384926 |   48358580 |    2796941
    num cache misses                 |      18731 |    1262823 |    1261639 |       4948
    miss rate                        |      0.16% |      2.61% |      2.61% |      0.18%
    mpki                             |       0.19 |       2.27 |       2.27 |       0.20
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   25416712 |  131413511 |  131176856 |    7855948
    num cache misses                 |     375693 |    4555672 |    4513727 |     140027
    miss rate                        |      1.48% |      3.47% |      3.44% |      1.78%
    mpki                             |       3.78 |       8.19 |       8.12 |       5.58
  Cache L2                           |            |            |            |           
    num cache accesses               |     408871 |    5819604 |    5776505 |     144980
    num cache misses                 |     365379 |     482913 |     478517 |     124332
    miss rate                        |     89.36% |      8.30% |      8.28% |     85.76%
    mpki                             |       3.67 |       0.87 |       0.86 |       4.95
  Cache L3                           |            |            |            |           
    num cache accesses               |     380372 |     484499 |     480602 |     124337
    num cache misses                 |      58982 |      40265 |       2912 |      44445
    miss rate                        |     15.51% |      8.31% |      0.61% |     35.75%
    mpki                             |       0.59 |       0.07 |       0.01 |       1.77
DRAM summary                         |            |            |            |           
  num dram accesses                  |     153802 |          0 |          0 |          0
  average dram access latency (ns)   |   14272.88 |        inf |        inf |        inf
  average dram queueing delay        |   14219.45 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      28843 |      14263 |       2422 |       6265
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
