                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11845396 |  608733027 |  609865980 |  627213700
  Cycles                             |  440028800 |  440028800 |  440028800 |  440028800
  IPC                                |       0.03 |       1.38 |       1.39 |       1.43
  Time (ns)                          |  110007200 |  110007200 |  110007200 |  110007200
  Idle time (ns)                     |  108287221 |    3388536 |    3853103 |    3890646
  Idle time (%)                      |      98.4% |       3.1% |       3.5% |       3.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     852623 |   78877721 |   80318473 |   83524713
  num incorrect                      |      25175 |    1427975 |    1277548 |    1347051
  misprediction rate                 |      2.87% |      1.78% |      1.57% |      1.59%
  mpki                               |       2.13 |       2.35 |       2.09 |       2.15
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1673967 |   66402239 |   66246202 |   69504119
    num misses                       |        199 |         46 |         45 |         45
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4887620 |  240346798 |  241630559 |  248911831
    num misses                       |       2758 |        294 |        656 |        443
    miss rate                        |      0.06% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.23 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       2957 |        340 |        701 |        488
    num misses                       |        555 |        142 |        138 |        137
    miss rate                        |     18.77% |     41.76% |     19.69% |     28.07%
    mpki                             |       0.05 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1673967 |   66402239 |   66246202 |   69504119
    num cache misses                 |       7190 |       2104 |       1003 |       1008
    miss rate                        |      0.43% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.61 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4887620 |  240346798 |  241630559 |  248911831
    num cache misses                 |      43065 |    1735975 |    1502011 |    1396559
    miss rate                        |      0.88% |      0.72% |      0.62% |      0.56%
    mpki                             |       3.64 |       2.85 |       2.46 |       2.23
  Cache L2                           |            |            |            |           
    num cache accesses               |      59631 |    2288144 |    2036897 |    1782260
    num cache misses                 |      18288 |    1351542 |    1334916 |    1193614
    miss rate                        |     30.67% |     59.07% |     65.54% |     66.97%
    mpki                             |       1.54 |       2.22 |       2.19 |       1.90
  Cache L3                           |            |            |            |           
    num cache accesses               |      27879 |    1901670 |    1868677 |    1578142
    num cache misses                 |      13751 |        410 |        196 |        175
    miss rate                        |     49.32% |      0.02% |      0.01% |      0.01%
    mpki                             |       1.16 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |      14516 |          0 |          0 |          0
  average dram access latency (ns)   |      72.78 |        inf |        inf |        inf
  average dram queueing delay        |      19.35 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       9279 |         67 |         20 |         25
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
