                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2488869 |  293394283 |  293386698 |  293385275 |  293391937 |  293385260 |  293385260 |  293385275 |  293385275 |  782220477 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  542281600 |  542281600 |  542281600 |  542281600 |  542281600 |  542281600 |  542281600 |  542281600 |  542281600 |  542281600 |  542281600 |  542281600 |  542281600 |  542281600 |  542281600 |  542281600
  IPC                                |       0.00 |       0.54 |       0.54 |       0.54 |       0.54 |       0.54 |       0.54 |       0.54 |       0.54 |       1.44 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  135570400 |  135570400 |  135570400 |  135570400 |  135570400 |  135570400 |  135570400 |  135570400 |  135570400 |  135570400 |  135570400 |  135570400 |  135570400 |  135570400 |  135570400 |  135570400
  Idle time (ns)                     |  134682214 |   85022885 |   84990981 |   84988998 |   85039973 |   84989584 |   84985947 |   84989842 |   84988494 |     885707 |  135570400 |  135570400 |  135570400 |  135570400 |  135570400 |  135570400
  Idle time (%)                      |      99.3% |      62.7% |      62.7% |      62.7% |      62.7% |      62.7% |      62.7% |      62.7% |      62.7% |       0.7% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     345921 |   28773485 |   28771026 |   28770854 |   28775107 |   28770856 |   28770856 |   28770854 |   28770854 |   76688902 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      16817 |    1659466 |    1660911 |    1660890 |    1657561 |    1660886 |    1660886 |    1660890 |    1660890 |    4430695 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      4.64% |      5.45% |      5.46% |      5.46% |      5.45% |      5.46% |      5.46% |      5.46% |      5.46% |      5.46% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       6.76 |       5.66 |       5.66 |       5.66 |       5.65 |       5.66 |       5.66 |       5.66 |       5.66 |       5.66 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     219493 |   41301392 |   41300385 |   41300199 |   41301046 |   41300193 |   41300193 |   41300199 |   41300199 |  110114806 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        183 |         45 |         45 |         45 |         45 |         45 |         45 |         45 |         45 |         45 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.08% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.07 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     844376 |  103797145 |  103794339 |  103793835 |  103796347 |  103793832 |  103793831 |  103793834 |  103793832 |  276720203 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       1434 |        141 |         94 |       1956 |        138 |         79 |         80 |         78 |       3855 |        107 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.17% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.58 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       1617 |        186 |        139 |       2001 |        183 |        124 |        125 |        123 |       3900 |        152 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        493 |        136 |        127 |        123 |        133 |        124 |        123 |        123 |        124 |        150 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     30.49% |     73.12% |     91.37% |      6.15% |     72.68% |    100.00% |     98.40% |    100.00% |      3.18% |     98.68% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.20 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     219493 |   41301392 |   41300385 |   41300199 |   41301046 |   41300193 |   41300193 |   41300199 |   41300199 |  110114806 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       2551 |      62608 |      62590 |      62570 |      62623 |      62568 |      62568 |      62570 |      62570 |     156893 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      1.16% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.14% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       1.02 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.20 |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     844376 |  103797145 |  103794339 |  103793835 |  103796347 |  103793832 |  103793831 |  103793834 |  103793832 |  276720203 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      17737 |    1251838 |    1250419 |    1252362 |    1253743 |    1253829 |    1249938 |    1251187 |    1252327 |    3315020 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      2.10% |      1.21% |      1.20% |      1.21% |      1.21% |      1.21% |      1.20% |      1.21% |      1.21% |      1.20% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       7.13 |       4.27 |       4.26 |       4.27 |       4.27 |       4.27 |       4.26 |       4.26 |       4.27 |       4.24 |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      20951 |    1314663 |    1313218 |    1315139 |    1316579 |    1316604 |    1312714 |    1313963 |    1315104 |    3472446 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      13696 |       2392 |       2314 |       2273 |       2367 |       2267 |       2271 |       2270 |       2268 |       4121 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     65.37% |      0.18% |      0.18% |      0.17% |      0.18% |      0.17% |      0.17% |      0.17% |      0.17% |      0.12% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       5.50 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       9099 |          0 |          0 |          0 |       9016 |          0 |          0 |          0 |       9070 |          0 |          0 |          0 |       9141 |          0 |          0 |          0
  average dram access latency (ns)   |      83.35 |        inf |        inf |        inf |      92.42 |        inf |        inf |        inf |      80.60 |        inf |        inf |        inf |      87.75 |        inf |        inf |        inf
  average dram queueing delay        |      29.92 |       0.00 |       0.00 |       0.00 |      38.99 |       0.00 |       0.00 |       0.00 |      27.17 |       0.00 |       0.00 |       0.00 |      34.32 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       9439 |        491 |        754 |        739 |        579 |        737 |        741 |        741 |        739 |       1155 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         70 |        373 |         51 |         36 |        269 |         36 |         36 |         33 |         34 |         84 |          0 |          0 |          0 |          0 |          0 |          0
