CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.00       0.06       0.06       0.06
depend-branch          0.00       0.02       0.01       0.00
issue-port2            0.00       0.02       0.03       0.00
issue-port015          0.00       0.02       0.02       0.03
branch                 0.00       0.13       0.11       0.08
ifetch                 0.00       0.08       0.08       0.13
mem-l1d                0.00       0.08       0.07       0.08
mem-l3                 0.00       0.02       0.02       0.00
mem-dram               0.15       0.02       0.02       0.02
sync-futex             5.83       0.00       0.24       0.50
sync-unscheduled        0.00       0.02       0.03       0.04
imbalance              0.00       0.00       0.01       0.00
imbalance-start        0.00       0.00       0.00       0.05
imbalance-end          0.00       0.08       0.00       1.13
other                  0.22       0.01       0.01       0.06

total                  6.44       0.81       0.96       2.43
