                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49891971 |   64446874 |   63521610 |   63517780
  Cycles                             |   75852400 |   75852400 |   75852400 |   75852400
  IPC                                |       0.66 |       0.85 |       0.84 |       0.84
  Time (ns)                          |   18963100 |   18963100 |   18963100 |   18963100
  Idle time (ns)                     |   10841939 |    8124702 |    8497761 |    8409361
  Idle time (%)                      |      57.2% |      42.8% |      44.8% |      44.3%
Branch predictor stats               |            |            |            |           
  num correct                        |    8250519 |    3764058 |    3640063 |    3636327
  num incorrect                      |     545067 |     106991 |      89006 |      91661
  misprediction rate                 |      6.20% |      2.76% |      2.39% |      2.46%
  mpki                               |      10.92 |       1.66 |       1.40 |       1.44
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7583446 |    7217651 |    7080135 |    7081431
    num misses                       |        149 |         57 |         34 |         33
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17211798 |   19044135 |   18681746 |   18679912
    num misses                       |        710 |        589 |        114 |         86
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        859 |        646 |        148 |        119
    num misses                       |        322 |        142 |        117 |        104
    miss rate                        |     37.49% |     21.98% |     79.05% |     87.39%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7583446 |    7217651 |    7080135 |    7081431
    num cache misses                 |       3260 |       2838 |        260 |        251
    miss rate                        |      0.04% |      0.04% |      0.00% |      0.00%
    mpki                             |       0.07 |       0.04 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17211798 |   19044135 |   18681746 |   18679912
    num cache misses                 |      11417 |      65084 |      58426 |      57923
    miss rate                        |      0.07% |      0.34% |      0.31% |      0.31%
    mpki                             |       0.23 |       1.01 |       0.92 |       0.91
  Cache L2                           |            |            |            |           
    num cache accesses               |      14779 |      67927 |      58689 |      58176
    num cache misses                 |      10527 |       1740 |       1532 |       1419
    miss rate                        |     71.23% |      2.56% |      2.61% |      2.44%
    mpki                             |       0.21 |       0.03 |       0.02 |       0.02
  Cache L3                           |            |            |            |           
    num cache accesses               |      10632 |       1745 |       1535 |       1421
    num cache misses                 |       8915 |        319 |        307 |        317
    miss rate                        |     83.85% |     18.28% |     20.00% |     22.31%
    mpki                             |       0.18 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9852 |          0 |          0 |          0
  average dram access latency (ns)   |     536.27 |        inf |        inf |        inf
  average dram queueing delay        |     482.84 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2556 |        167 |        196 |        200
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
