                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2474014 |          0 |          0 |          0
  Cycles                             |    3523600 |    3523600 |    3523600 |    3523600
  IPC                                |       0.70 |       0.00 |       0.00 |       0.00
  Time (ns)                          |     880900 |     880900 |     880900 |     880900
  Idle time (ns)                     |        256 |     880900 |     880900 |     880900
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     346361 |          0 |          0 |          0
  num incorrect                      |      17122 |          0 |          0 |          0
  misprediction rate                 |      4.71% |      0.00% |      0.00% |      0.00%
  mpki                               |       6.92 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     208099 |          0 |          0 |          0
    num misses                       |        210 |          0 |          0 |          0
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     852631 |          0 |          0 |          0
    num misses                       |       3597 |          0 |          0 |          0
    miss rate                        |      0.42% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.45 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       3807 |          0 |          0 |          0
    num misses                       |        557 |          0 |          0 |          0
    miss rate                        |     14.63% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.23 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     208099 |          0 |          0 |          0
    num cache misses                 |       2887 |          0 |          0 |          0
    miss rate                        |      1.39% |       inf% |       inf% |       inf%
    mpki                             |       1.17 |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     852631 |          0 |          0 |          0
    num cache misses                 |      18114 |          0 |          0 |          0
    miss rate                        |      2.12% |       inf% |       inf% |       inf%
    mpki                             |       7.32 |        inf |        inf |        inf
  Cache L2                           |            |            |            |           
    num cache accesses               |      21325 |          0 |          0 |          0
    num cache misses                 |      13808 |          0 |          0 |          0
    miss rate                        |     64.75% |       inf% |       inf% |       inf%
    mpki                             |       5.58 |        inf |        inf |        inf
  Cache L3                           |            |            |            |           
    num cache accesses               |      14136 |          0 |          0 |          0
    num cache misses                 |      12062 |          0 |          0 |          0
    miss rate                        |     85.33% |       inf% |       inf% |       inf%
    mpki                             |       4.88 |        inf |        inf |        inf
DRAM summary                         |            |            |            |           
  num dram accesses                  |      12060 |          0 |          0 |          0
  average dram access latency (ns)   |      65.72 |        inf |        inf |        inf
  average dram queueing delay        |      12.29 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     11.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8253 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
