                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  198633471 |   36460402 |   36454196 |   36451306
  Cycles                             |  150035200 |  150035200 |  150035200 |  150035200
  IPC                                |       1.32 |       0.24 |       0.24 |       0.24
  Time (ns)                          |   37508800 |   37508800 |   37508800 |   37508800
  Idle time (ns)                     |    6234455 |   31300357 |   31429247 |   31363060
  Idle time (%)                      |      16.6% |      83.4% |      83.8% |      83.6%
Branch predictor stats               |            |            |            |           
  num correct                        |   32931968 |    2096662 |    2100536 |    2097464
  num incorrect                      |    2087495 |      58666 |      53192 |      55921
  misprediction rate                 |      5.96% |      2.72% |      2.47% |      2.60%
  mpki                               |      10.51 |       1.61 |       1.46 |       1.53
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   30219926 |    4070214 |    4069791 |    4068484
    num misses                       |        138 |         60 |         60 |         60
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   68515291 |   10738545 |   10735174 |   10734012
    num misses                       |      83316 |     293869 |     320292 |     347832
    miss rate                        |      0.12% |      2.74% |      2.98% |      3.24%
    mpki                             |       0.42 |       8.06 |       8.79 |       9.54
  L2 TLB                             |            |            |            |           
    num accesses                     |      83454 |     293929 |     320352 |     347892
    num misses                       |        606 |        226 |        866 |       2865
    miss rate                        |      0.73% |      0.08% |      0.27% |      0.82%
    mpki                             |       0.00 |       0.01 |       0.02 |       0.08
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   30219926 |    4070214 |    4069791 |    4068484
    num cache misses                 |       5489 |       2113 |       1874 |       1569
    miss rate                        |      0.02% |      0.05% |      0.05% |      0.04%
    mpki                             |       0.03 |       0.06 |       0.05 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   68515291 |   10738545 |   10735174 |   10734012
    num cache misses                 |      30959 |      32208 |      32202 |      31891
    miss rate                        |      0.05% |      0.30% |      0.30% |      0.30%
    mpki                             |       0.16 |       0.88 |       0.88 |       0.87
  Cache L2                           |            |            |            |           
    num cache accesses               |      36550 |      34357 |      34084 |      33476
    num cache misses                 |      32787 |      15539 |      12864 |       9381
    miss rate                        |     89.70% |     45.23% |     37.74% |     28.02%
    mpki                             |       0.17 |       0.43 |       0.35 |       0.26
  Cache L3                           |            |            |            |           
    num cache accesses               |      32892 |      15575 |      12872 |       9397
    num cache misses                 |      20430 |        682 |        535 |        559
    miss rate                        |     62.11% |      4.38% |      4.16% |      5.95%
    mpki                             |       0.10 |       0.02 |       0.01 |       0.02
DRAM summary                         |            |            |            |           
  num dram accesses                  |      22201 |          0 |          0 |          0
  average dram access latency (ns)   |    1036.27 |        inf |        inf |        inf
  average dram queueing delay        |     982.84 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       3682 |        479 |        397 |        421
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
