                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  1326900847 |    84633930 |    82360326 |    83439354
  Cycles                             |  2267404800 |  2267404800 |  2267404800 |  2267404800
  IPC                                |        0.59 |        0.04 |        0.04 |        0.04
  Time (ns)                          |   566851200 |   566851200 |   566851200 |   566851200
  Idle time (ns)                     |    24279609 |   542634769 |   543962611 |   543388399
  Idle time (%)                      |        4.3% |       95.7% |       96.0% |       95.9%
Branch predictor stats               |             |             |             |            
  num correct                        |   206003146 |     5226578 |     5094322 |     5138784
  num incorrect                      |    19477269 |      348008 |      374942 |      380134
  misprediction rate                 |       8.64% |       6.24% |       6.86% |       6.89%
  mpki                               |       14.68 |        4.11 |        4.55 |        4.56
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   225642397 |     9507578 |     9308303 |     9371021
    num misses                       |         281 |          68 |          69 |          68
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   489826346 |    27383991 |    26663377 |    26975866
    num misses                       |    12017348 |     2049534 |     1813783 |     1851674
    miss rate                        |       2.45% |       7.48% |       6.80% |       6.86%
    mpki                             |        9.06 |       24.22 |       22.02 |       22.19
  L2 TLB                             |             |             |             |            
    num accesses                     |    12017629 |     2049602 |     1813852 |     1851742
    num misses                       |     5741047 |     1012014 |      945247 |      957234
    miss rate                        |      47.77% |      49.38% |      52.11% |      51.69%
    mpki                             |        4.33 |       11.96 |       11.48 |       11.47
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   225642397 |     9507578 |     9308303 |     9371021
    num cache misses                 |      896251 |       16738 |       18132 |       16260
    miss rate                        |       0.40% |       0.18% |       0.19% |       0.17%
    mpki                             |        0.68 |        0.20 |        0.22 |        0.19
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   489826346 |    27383991 |    26663377 |    26975866
    num cache misses                 |    15503866 |     1812259 |     1733544 |     1766588
    miss rate                        |       3.17% |       6.62% |       6.50% |       6.55%
    mpki                             |       11.68 |       21.41 |       21.05 |       21.17
  Cache L2                           |             |             |             |            
    num cache accesses               |    17677020 |     1829082 |     1751887 |     1782985
    num cache misses                 |    12808374 |      907632 |      775255 |      788200
    miss rate                        |      72.46% |      49.62% |      44.25% |      44.21%
    mpki                             |        9.65 |       10.72 |        9.41 |        9.45
  Cache L3                           |             |             |             |            
    num cache accesses               |    14086467 |      907717 |      775466 |      788337
    num cache misses                 |     4477376 |        5215 |        4734 |        5128
    miss rate                        |      31.78% |       0.57% |       0.61% |       0.65%
    mpki                             |        3.37 |        0.06 |        0.06 |        0.06
DRAM summary                         |             |             |             |            
  num dram accesses                  |     7117046 |           0 |           0 |           0
  average dram access latency (ns)   |    21189.68 |         inf |         inf |         inf
  average dram queueing delay        |    21136.25 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      10.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |     3633151 |        3133 |        2697 |        2990
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
