                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   36831118 |  224115742 |  150759780 |   66532933
  Cycles                             |  187805600 |  187805600 |  187805600 |  187805600
  IPC                                |       0.20 |       1.19 |       0.80 |       0.35
  Time (ns)                          |   46951400 |   46951400 |   46951400 |   46951400
  Idle time (ns)                     |   41409404 |    5911364 |   18934477 |   34064476
  Idle time (%)                      |      88.2% |      12.6% |      40.3% |      72.6%
Branch predictor stats               |            |            |            |           
  num correct                        |    1539060 |    7795231 |    5147644 |    2311685
  num incorrect                      |      59298 |    1784352 |     976904 |     372504
  misprediction rate                 |      3.71% |     18.63% |     15.95% |     13.88%
  mpki                               |       1.61 |       7.96 |       6.48 |       5.60
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    3551910 |   24623176 |   16488328 |    7334293
    num misses                       |        444 |       2338 |       4117 |       2225
    miss rate                        |      0.01% |      0.01% |      0.02% |      0.03%
    mpki                             |       0.01 |       0.01 |       0.03 |       0.03
  D-TLB                              |            |            |            |           
    num accesses                     |   13540725 |   76567175 |   50441598 |   21742142
    num misses                       |       9280 |     162646 |     190433 |     114138
    miss rate                        |      0.07% |      0.21% |      0.38% |      0.52%
    mpki                             |       0.25 |       0.73 |       1.26 |       1.72
  L2 TLB                             |            |            |            |           
    num accesses                     |       9724 |     164984 |     194550 |     116363
    num misses                       |       3859 |       7777 |       6787 |       4255
    miss rate                        |     39.69% |      4.71% |      3.49% |      3.66%
    mpki                             |       0.10 |       0.03 |       0.05 |       0.06
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    3551910 |   24623176 |   16488328 |    7334293
    num cache misses                 |      70103 |    2045072 |    1945227 |    1015286
    miss rate                        |      1.97% |      8.31% |     11.80% |     13.84%
    mpki                             |       1.90 |       9.13 |      12.90 |      15.26
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   13540725 |   76567175 |   50441598 |   21742142
    num cache misses                 |     268071 |     981104 |     986076 |     529953
    miss rate                        |      1.98% |      1.28% |      1.95% |      2.44%
    mpki                             |       7.28 |       4.38 |       6.54 |       7.97
  Cache L2                           |            |            |            |           
    num cache accesses               |     338406 |    3030980 |    2934278 |    1547733
    num cache misses                 |     249047 |     271160 |     259324 |     155187
    miss rate                        |     73.59% |      8.95% |      8.84% |     10.03%
    mpki                             |       6.76 |       1.21 |       1.72 |       2.33
  Cache L3                           |            |            |            |           
    num cache accesses               |     249343 |     285981 |     273108 |     166323
    num cache misses                 |     131679 |      73017 |      70083 |      51801
    miss rate                        |     52.81% |     25.53% |     25.66% |     31.14%
    mpki                             |       3.58 |       0.33 |       0.46 |       0.78
DRAM summary                         |            |            |            |           
  num dram accesses                  |     499826 |          0 |          0 |          0
  average dram access latency (ns)   |    5041.79 |        inf |        inf |        inf
  average dram queueing delay        |    4988.36 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      8.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      58560 |      20942 |      18854 |      17288
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
