Beat	Tag	Timestamp	Global Rate	Window Rate	Instant Rate	Min Rate	Max Rate
0	-1	352600	0.000000	0.000000	0.000000	30.000000	100.000000
1	1	535000	10964.912281	5482.456055	5482.456140	30.000000	100.000000
2	2	1137600	3821.656051	2547.770752	1659.475606	30.000000	100.000000
3	3	16508100	247.593699	185.695282	65.059692	30.000000	100.000000
4	4	17603500	289.839950	231.871964	912.908527	30.000000	100.000000
5	5	19380400	315.328099	262.773407	562.777872	30.000000	100.000000
6	6	26074800	272.138464	233.261536	149.378585	30.000000	100.000000
7	7	28953700	279.709522	244.745834	347.354892	30.000000	100.000000
8	8	31882600	285.442436	253.726608	341.425108	30.000000	100.000000
