Beat	Tag	Timestamp	Global Rate	Window Rate	Instant Rate	Min Rate	Max Rate
0	-1	847200	0.000000	0.000000	0.000000	0.000000	100.000000
1	0	856500	215053.763441	107526.882812	107526.881720	0.000000	100.000000
2	1	3800500	1015.812820	677.208557	339.673913	0.000000	100.000000
3	2	6714200	681.779444	511.334595	343.206233	0.000000	100.000000
4	3	9626200	569.540950	455.632751	343.406593	0.000000	100.000000
5	4	12540900	513.096796	427.580658	343.088483	0.000000	100.000000
6	5	15453700	479.238695	410.776001	343.312277	0.000000	100.000000
7	6	18368900	456.576702	399.504608	343.029638	0.000000	100.000000
8	7	21283900	440.384211	391.452637	343.053173	0.000000	100.000000
