CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.03       0.05       0.05       0.05
depend-fp              0.00       0.23       0.23       0.24
depend-branch          0.03       0.00       0.00       0.00
issue-port2            0.01       0.00       0.00       0.00
branch                 0.23       0.08       0.08       0.08
mem-l1d                0.06       0.03       0.03       0.03
sync-futex             0.49       0.00       0.00       0.00
imbalance-start        0.00       0.69       0.70       0.70
imbalance-end          0.00       0.17       0.20       0.19
other                  0.03       0.02       0.02       0.02

total                  1.13       1.53       1.55       1.55
