                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   98671038 |  427411528 |  428078138 |   25096207
  Cycles                             |  309109600 |  309109600 |  309109600 |  309109600
  IPC                                |       0.32 |       1.38 |       1.38 |       0.08
  Time (ns)                          |   77277400 |   77277400 |   77277400 |   77277400
  Idle time (ns)                     |   64970512 |   15378846 |   15380709 |   74564717
  Idle time (%)                      |      84.1% |      19.9% |      19.9% |      96.5%
Branch predictor stats               |            |            |            |           
  num correct                        |    5426812 |   35371320 |   35484414 |    1567289
  num incorrect                      |     127787 |     736615 |     731194 |       7953
  misprediction rate                 |      2.30% |      2.04% |      2.02% |      0.50%
  mpki                               |       1.30 |       1.72 |       1.71 |       0.32
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   11516922 |   38712622 |   38777743 |    2796941
    num misses                       |        904 |         78 |         75 |         85
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   25171589 |  103685584 |  103647579 |    7855948
    num misses                       |      12409 |     226726 |     230841 |       2381
    miss rate                        |      0.05% |      0.22% |      0.22% |      0.03%
    mpki                             |       0.13 |       0.53 |       0.54 |       0.09
  L2 TLB                             |            |            |            |           
    num accesses                     |      13313 |     226804 |     230916 |       2466
    num misses                       |       3164 |       5284 |       3853 |        954
    miss rate                        |     23.77% |      2.33% |      1.67% |     38.69%
    mpki                             |       0.03 |       0.01 |       0.01 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   11516922 |   38712622 |   38777743 |    2796941
    num cache misses                 |      18097 |    1208935 |    1207964 |       4934
    miss rate                        |      0.16% |      3.12% |      3.12% |      0.18%
    mpki                             |       0.18 |       2.83 |       2.82 |       0.20
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   25171589 |  103685584 |  103647579 |    7855948
    num cache misses                 |     375468 |    2331746 |    2284990 |     140027
    miss rate                        |      1.49% |      2.25% |      2.20% |      1.78%
    mpki                             |       3.81 |       5.46 |       5.34 |       5.58
  Cache L2                           |            |            |            |           
    num cache accesses               |     408025 |    3541814 |    3494400 |     144966
    num cache misses                 |     364563 |     179679 |     138677 |     124333
    miss rate                        |     89.35% |      5.07% |      3.97% |     85.77%
    mpki                             |       3.69 |       0.42 |       0.32 |       4.95
  Cache L3                           |            |            |            |           
    num cache accesses               |     379765 |     181066 |     141857 |     124338
    num cache misses                 |      58984 |      40155 |       2981 |      44445
    miss rate                        |     15.53% |     22.18% |      2.10% |     35.75%
    mpki                             |       0.60 |       0.09 |       0.01 |       1.77
DRAM summary                         |            |            |            |           
  num dram accesses                  |     154116 |          0 |          0 |          0
  average dram access latency (ns)   |   14055.17 |        inf |        inf |        inf
  average dram queueing delay        |   14001.74 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      28863 |       5352 |       2434 |       6266
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
