CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.00       0.05       0.05       0.00
depend-fp              0.04       0.11       0.11       0.00
depend-branch          0.00       0.01       0.01       0.00
issue-port015          0.00       0.01       0.01       0.00
branch                 0.04       0.05       0.05       0.00
ifetch                 0.00       0.03       0.03       0.00
mem-l1d                0.00       0.05       0.05       0.00
mem-l2                 0.00       0.01       0.01       0.00
mem-dram               0.04       0.00       0.00       0.00
sync-futex             2.63       0.13       0.13       0.00
imbalance-start        0.00       0.01       0.01       0.17
imbalance-end          0.00       0.00       0.00      11.71
other                  0.13       0.02       0.02       0.19

total                  3.13       0.72       0.72      12.32
