CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.00       0.06       0.06       0.06
depend-branch          0.00       0.02       0.02       0.00
issue                  0.00       0.00       0.00       0.05
issue-port2            0.00       0.02       0.02       0.00
issue-port015          0.00       0.02       0.02       0.00
branch                 0.00       0.14       0.11       0.09
ifetch                 0.00       0.08       0.10       0.13
mem-l1d                0.00       0.09       0.08       0.08
mem-l3                 0.00       0.01       0.02       0.00
mem-dram               0.15       0.02       0.03       0.04
sync-futex             5.28       0.00       0.40       0.70
sync-unscheduled        0.00       0.03       0.05       0.06
imbalance-start        0.00       0.00       0.01       0.06
imbalance-end          0.00       0.07       0.00       1.32
other                  0.22       0.01       0.02       0.04

total                  5.90       0.81       1.18       2.87
