                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   556776078 |  7015853960 |  7033598073 |   100310321
  Cycles                             |  4619788000 |  4619788000 |  4619788000 |  4619788000
  IPC                                |        0.12 |        1.52 |        1.52 |        0.02
  Time (ns)                          |  1154947000 |  1154947000 |  1154947000 |  1154947000
  Idle time (ns)                     |  1088165028 |    71304973 |    70966929 |  1144719220
  Idle time (%)                      |       94.2% |        6.2% |        6.1% |       99.1%
Branch predictor stats               |             |             |             |            
  num correct                        |    32981223 |   666778213 |   668528142 |     6262913
  num incorrect                      |      649292 |    15026218 |    15036010 |       28001
  misprediction rate                 |       1.93% |       2.20% |       2.20% |       0.45%
  mpki                               |        1.17 |        2.14 |        2.14 |        0.28
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    63643185 |   596694585 |   598217512 |    11178864
    num misses                       |        2008 |         157 |         154 |         465
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   150779815 |  1804060873 |  1808267882 |    31412400
    num misses                       |       38859 |     7769138 |     7904465 |        8975
    miss rate                        |       0.03% |       0.43% |       0.44% |       0.03%
    mpki                             |        0.07 |        1.11 |        1.12 |        0.09
  L2 TLB                             |             |             |             |            
    num accesses                     |       40867 |     7769295 |     7904619 |        9440
    num misses                       |       14376 |      687066 |      867650 |        2557
    miss rate                        |      35.18% |       8.84% |      10.98% |      27.09%
    mpki                             |        0.03 |        0.10 |        0.12 |        0.03
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    63643185 |   596694585 |   598217512 |    11178864
    num cache misses                 |       46721 |    17034100 |    17098359 |       19609
    miss rate                        |       0.07% |       2.85% |       2.86% |       0.18%
    mpki                             |        0.08 |        2.43 |        2.43 |        0.20
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   150779815 |  1804060873 |  1808267882 |    31412400
    num cache misses                 |     1835543 |    61882898 |    62000327 |      558737
    miss rate                        |       1.22% |       3.43% |       3.43% |       1.78%
    mpki                             |        3.30 |        8.82 |        8.81 |        5.57
  Cache L2                           |             |             |             |            
    num cache accesses               |     1904974 |    78933469 |    79109467 |      578363
    num cache misses                 |     1787954 |     5008661 |     4770964 |      493267
    miss rate                        |      93.86% |       6.35% |       6.03% |      85.29%
    mpki                             |        3.21 |        0.71 |        0.68 |        4.92
  Cache L3                           |             |             |             |            
    num cache accesses               |     1810900 |     5031106 |     4791977 |      493284
    num cache misses                 |      111689 |       81056 |       40258 |      111719
    miss rate                        |       6.17% |       1.61% |       0.84% |      22.65%
    mpki                             |        0.20 |        0.01 |        0.01 |        1.11
DRAM summary                         |             |             |             |            
  num dram accesses                  |      514975 |           0 |           0 |           0
  average dram access latency (ns)   |    16238.80 |         inf |         inf |         inf
  average dram queueing delay        |    16185.37 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |       40092 |       41665 |       38769 |       17175
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
