                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  198631873 |  364265533 |  364335910 |  364322545
  Cycles                             |  371364400 |  371364400 |  371364400 |  371364400
  IPC                                |       0.53 |       0.98 |       0.98 |       0.98
  Time (ns)                          |   92841100 |   92841100 |   92841100 |   92841100
  Idle time (ns)                     |   61489829 |   31532640 |   32086648 |   31375082
  Idle time (%)                      |      66.2% |      34.0% |      34.6% |      33.8%
Branch predictor stats               |            |            |            |           
  num correct                        |   32922458 |   20942059 |   20987193 |   20945848
  num incorrect                      |    2096833 |     560708 |     518942 |     559036
  misprediction rate                 |      5.99% |      2.61% |      2.41% |      2.60%
  mpki                               |      10.56 |       1.54 |       1.42 |       1.53
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   30219709 |   40650947 |   40667479 |   40655543
    num misses                       |        144 |         58 |         58 |         58
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   68514915 |  107255000 |  107272849 |  107266886
    num misses                       |      82623 |    3058664 |    3620311 |    3263066
    miss rate                        |      0.12% |      2.85% |      3.37% |      3.04%
    mpki                             |       0.42 |       8.40 |       9.94 |       8.96
  L2 TLB                             |            |            |            |           
    num accesses                     |      82767 |    3058722 |    3620369 |    3263124
    num misses                       |        594 |       3057 |      20586 |      12266
    miss rate                        |      0.72% |      0.10% |      0.57% |      0.38%
    mpki                             |       0.00 |       0.01 |       0.06 |       0.03
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   30219709 |   40650947 |   40667479 |   40655543
    num cache misses                 |       3818 |       6921 |       9179 |      12730
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.03%
    mpki                             |       0.02 |       0.02 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   68514915 |  107255000 |  107272849 |  107266886
    num cache misses                 |      30932 |     315246 |     316332 |     316603
    miss rate                        |      0.05% |      0.29% |      0.29% |      0.30%
    mpki                             |       0.16 |       0.87 |       0.87 |       0.87
  Cache L2                           |            |            |            |           
    num cache accesses               |      34848 |     322604 |     325673 |     329335
    num cache misses                 |      32742 |      37872 |      68720 |      65769
    miss rate                        |     93.96% |     11.74% |     21.10% |     19.97%
    mpki                             |       0.16 |       0.10 |       0.19 |       0.18
  Cache L3                           |            |            |            |           
    num cache accesses               |      32844 |      38309 |      68882 |      65772
    num cache misses                 |      20437 |        549 |        714 |        473
    miss rate                        |     62.22% |      1.43% |      1.04% |      0.72%
    mpki                             |       0.10 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |      22168 |          0 |          0 |          0
  average dram access latency (ns)   |    1036.77 |        inf |        inf |        inf
  average dram queueing delay        |     983.34 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       3669 |        437 |        509 |        385
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
