CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.25       0.25       0.25
depend-int             0.00       0.02       0.02       0.02
depend-fp              0.00       0.24       0.24       0.24
issue-port2            0.00       0.05       0.05       0.05
branch                 0.00       0.02       0.02       0.02
mem-l1d                0.00       0.02       0.01       0.01
mem-l3                 0.00       0.25       0.26       0.26
sync-futex            35.22       0.00       0.00       0.00
imbalance-start        0.00       0.01       0.01       0.01
other                  0.58       0.01       0.02       0.02

total                 35.80       0.88       0.88       0.88
