                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2383544 |   69768950 |   69761075 |   69758449 |   69757318 |   69755880 |   69755895 |   69755880 |   69755895 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   52973200 |   52973200 |   52973200 |   52973200 |   52973200 |   52973200 |   52973200 |   52973200 |   52973200 |   52973200 |   52973200 |   52973200 |   52973200 |   52973200 |   52973200 |   52973200
  IPC                                |       0.04 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   13243300 |   13243300 |   13243300 |   13243300 |   13243300 |   13243300 |   13243300 |   13243300 |   13243300 |   13243300 |   13243300 |   13243300 |   13243300 |   13243300 |   13243300 |   13243300
  Idle time (ns)                     |   12382109 |     867380 |     867834 |     862811 |     862325 |     860570 |     859218 |     861696 |     858407 |   13243300 |   13243300 |   13243300 |   13243300 |   13243300 |   13243300 |   13243300
  Idle time (%)                      |      93.5% |       6.5% |       6.6% |       6.5% |       6.5% |       6.5% |       6.5% |       6.5% |       6.5% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     329828 |    6645164 |    6644249 |    6643952 |    6643830 |    6643652 |    6643648 |    6643652 |    6643648 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      15895 |     249343 |     249193 |     249113 |     249090 |     249073 |     249079 |     249073 |     249079 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      4.60% |      3.62% |      3.61% |      3.61% |      3.61% |      3.61% |      3.61% |      3.61% |      3.61% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       6.67 |       3.57 |       3.57 |       3.57 |       3.57 |       3.57 |       3.57 |       3.57 |       3.57 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     203723 |   10345927 |   10344884 |   10344568 |   10344418 |   10344226 |   10344232 |   10344226 |   10344232 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        188 |         45 |         46 |         45 |         45 |         45 |         45 |         45 |         45 |          0 |          0 |          0 |          0 |          0 |          0 |          0
