CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.85       1.57       1.57       0.70
depend                 0.17       0.00       0.00       0.00
depend-int             0.00       0.11       0.11       0.00
depend-fp              0.00       0.20       0.20       0.00
issue                  0.00       0.04       0.04       0.00
branch                 0.00       0.25       0.25       0.00
ifetch                 0.00       0.08       0.08       0.00
mem-l1d                0.00       0.08       0.08       0.00
mem-l3                 0.00       0.04       0.04       0.00
sync-futex            13.11       0.30       0.30       0.00
imbalance-end          0.00       0.00       0.00      55.75
other                  0.32       0.05       0.05       0.49

total                 14.45       2.71       2.71      56.94
