                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |    98917086 |   528027978 |   527639817 |    25096208
  Cycles                             |  1428938400 |  1428938400 |  1428938400 |  1428938400
  IPC                                |        0.07 |        0.37 |        0.37 |        0.02
  Time (ns)                          |   357234600 |   357234600 |   357234600 |   357234600
  Idle time (ns)                     |   324247041 |    40102953 |    40642968 |   350930770
  Idle time (%)                      |       90.8% |       11.2% |       11.4% |       98.2%
Branch predictor stats               |             |             |             |            
  num correct                        |     5443822 |    50002949 |    49980693 |     1567136
  num incorrect                      |      126587 |     1294844 |     1295158 |        8106
  misprediction rate                 |       2.27% |       2.52% |       2.53% |       0.51%
  mpki                               |        1.28 |        2.45 |        2.45 |        0.32
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    10998155 |    49351930 |    49328273 |     2800762
    num misses                       |         976 |          78 |          75 |          90
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    25246741 |   134406835 |   134201357 |     7855948
    num misses                       |       14812 |      521553 |      528866 |        2377
    miss rate                        |       0.06% |       0.39% |       0.39% |       0.03%
    mpki                             |        0.15 |        0.99 |        1.00 |        0.09
  L2 TLB                             |             |             |             |            
    num accesses                     |       15788 |      521631 |      528941 |        2467
    num misses                       |        3153 |       32185 |       28845 |         951
    miss rate                        |      19.97% |       6.17% |       5.45% |      38.55%
    mpki                             |        0.03 |        0.06 |        0.05 |        0.04
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    10998155 |    49351930 |    49328273 |     2800762
    num cache misses                 |       19434 |     1211391 |     1209337 |        5410
    miss rate                        |       0.18% |       2.45% |       2.45% |       0.19%
    mpki                             |        0.20 |        2.29 |        2.29 |        0.22
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    25246741 |   134406835 |   134201357 |     7855948
    num cache misses                 |      375284 |     3861807 |     3838301 |      140022
    miss rate                        |       1.49% |       2.87% |       2.86% |       1.78%
    mpki                             |        3.79 |        7.31 |        7.27 |        5.58
  Cache L2                           |             |             |             |            
    num cache accesses               |      409151 |     5076599 |     5048198 |      145437
    num cache misses                 |      364005 |      452373 |      373680 |      124366
    miss rate                        |      88.97% |       8.91% |       7.40% |      85.51%
    mpki                             |        3.68 |        0.86 |        0.71 |        4.96
  Cache L3                           |             |             |             |            
    num cache accesses               |      379196 |      456060 |      375308 |      124371
    num cache misses                 |       58674 |       28347 |        2837 |       44444
    miss rate                        |      15.47% |       6.22% |       0.76% |      35.74%
    mpki                             |        0.59 |        0.05 |        0.01 |        1.77
DRAM summary                         |             |             |             |            
  num dram accesses                  |      136617 |           0 |           0 |           0
  average dram access latency (ns)   |     7343.66 |         inf |         inf |         inf
  average dram queueing delay        |     7290.23 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |       28707 |        3298 |        2419 |        6288
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
