CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.16       1.41       1.41       0.00
depend-int             0.00       0.11       0.11       0.00
depend-branch          0.00       0.03       0.00       0.00
issue-port2            0.00       0.06       0.06       0.00
issue-port015          0.00       0.03       0.03       0.00
branch                 0.00       0.44       0.42       0.00
ifetch                 0.00       0.27       0.28       0.00
mem-l1d                0.00       0.14       0.14       0.00
mem-dram               0.00       0.03       0.00       0.00
sync-futex            30.72       0.00       0.19       0.00
sync-unscheduled        0.00       0.08       0.08       0.00
imbalance-end          0.00       0.05       0.00   5424809124.00
other                  0.79       0.05       0.09    8000.00

total                 32.68       2.70       2.80   5424817124.00
