CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.00       0.00
depend-int             0.09       0.04       0.00       0.00
depend-branch          0.02       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.23       0.19       0.00       0.00
ifetch                 0.15       0.00       0.00       0.00
mem-l1d                0.04       0.09       0.00       0.00
mem-dram               0.59       0.00       0.00       0.00
sync-futex             0.33       0.00       0.66       0.49
imbalance-start        0.00       2.75      24.45      21.05
imbalance-end          0.00       0.07       4.99       4.24
other                  0.03       0.12       0.94       0.94

total                  1.74       3.50      31.05      26.73
