CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.14       1.83       1.81       0.00
depend-int             0.07       0.08       0.08       0.00
depend-fp              0.00       0.37       0.37       0.00
branch                 0.83       0.33       0.31       0.00
mem-l1d                0.13       0.05       0.05       0.00
sync-futex             4.91       0.00       0.00       0.00
sync-unscheduled        0.00       0.99       0.99       0.00
imbalance-end          0.00       0.28       0.32   360446092.00
other                  0.14       0.03       0.03    8000.00

total                  7.23       3.95       3.95   360454092.00
