CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.03       1.42       1.41       0.00
depend-int             0.00       0.11       0.11       0.00
issue-port2            0.00       0.04       0.05       0.00
issue-port015          0.00       0.04       0.04       0.00
branch                 0.00       0.46       0.36       0.00
ifetch                 0.00       0.26       0.32       0.00
mem-l1d                0.00       0.15       0.13       0.00
sync-futex            26.95       0.00       1.20       0.00
sync-unscheduled        0.00       0.08       0.11       0.00
imbalance-end          0.00       0.33       0.00   1051762716.00
other                  0.72       0.09       0.10    8000.00

total                 28.70       2.98       3.84   1051770716.00
