                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   98335078 |  143471927 |  142294676 |  142043456 |  144322667 |  142703114 |  141414909 |  145360262 |  144322036 |   25096093 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  183786300 |  183786300 |  183786300 |  183786300 |  183786300 |  183786300 |  183786300 |  183786300 |  183786300 |  183786300 |  183786300 |  183786300 |  183786300 |  183786300 |  183786300 |  183786300
  IPC                                |       0.54 |       0.78 |       0.77 |       0.77 |       0.79 |       0.78 |       0.77 |       0.79 |       0.79 |       0.14 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   61262100 |   61262100 |   61262100 |   61262100 |   61262100 |   61262100 |   61262100 |   61262100 |   61262100 |   61262100 |   61262100 |   61262100 |   61262100 |   61262100 |   61262100 |   61262100
  Idle time (ns)                     |   40946879 |   26573816 |   26696318 |   26724857 |   26387758 |   26607995 |   26867070 |   26194690 |   26353063 |   56456083 |   61262100 |   61262100 |   61262100 |   61262100 |   61262100 |   61262100
  Idle time (%)                      |      66.8% |      43.4% |      43.6% |      43.6% |      43.1% |      43.4% |      43.9% |      42.8% |      43.0% |      92.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    5409068 |   13556756 |   13447308 |   13384629 |   13624181 |   13370215 |   13296547 |   13771601 |   13606824 |    1567263 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |     127442 |     338009 |     338213 |     338403 |     345397 |     338366 |     336779 |     344524 |     342713 |       7975 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      2.30% |      2.43% |      2.45% |      2.47% |      2.47% |      2.47% |      2.47% |      2.44% |      2.46% |      0.51% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       1.30 |       2.36 |       2.38 |       2.38 |       2.39 |       2.37 |       2.38 |       2.37 |       2.37 |       0.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   10823908 |   13137632 |   13021792 |   12990708 |   13212976 |   13041239 |   12923170 |   13317325 |   13199475 |    2800761 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        821 |         73 |         73 |         73 |         73 |         76 |         66 |         73 |         66 |         84 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   25081464 |   36055761 |   35834422 |   35792855 |   36312866 |   35973304 |   35615740 |   36511531 |   36326194 |    7855948 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      10961 |     133807 |     140154 |     135258 |     139263 |     132846 |     136034 |     137836 |     139771 |       2351 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.04% |      0.37% |      0.39% |      0.38% |      0.38% |      0.37% |      0.38% |      0.38% |      0.38% |      0.03% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.11 |       0.93 |       0.98 |       0.95 |       0.96 |       0.93 |       0.96 |       0.95 |       0.97 |       0.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      11782 |     133880 |     140227 |     135331 |     139336 |     132922 |     136100 |     137909 |     139837 |       2435 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       3333 |       5176 |       5213 |       4530 |       5763 |       4541 |       5228 |       5514 |       5739 |        957 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     28.29% |      3.87% |      3.72% |      3.35% |      4.14% |      3.42% |      3.84% |      4.00% |      4.10% |     39.30% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.03 |       0.04 |       0.03 |       0.04 |       0.04 |       0.04 |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   10823908 |   13137632 |   13021792 |   12990708 |   13212976 |   13041239 |   12923170 |   13317325 |   13199475 |    2800761 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      19325 |     336687 |     336422 |     337130 |     340272 |     334492 |     335381 |     339522 |     340720 |       4538 |          0 |          0 |          0 |          0 |          0 |          0
