                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   90372128 |  108373423 |  108283208 |  106995542 |  107817142 |  106207711 |  105949190 |  107541982 |   25095196 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  154366000 |  154366000 |  154366000 |  154366000 |  154366000 |  154366000 |  154366000 |  154366000 |  154366000 |  154366000 |  154366000 |  154366000 |  154366000 |  154366000 |  154366000 |  154366000
  IPC                                |       0.59 |       0.70 |       0.70 |       0.69 |       0.70 |       0.69 |       0.69 |       0.70 |       0.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   38591500 |   38591500 |   38591500 |   38591500 |   38591500 |   38591500 |   38591500 |   38591500 |   38591500 |   38591500 |   38591500 |   38591500 |   38591500 |   38591500 |   38591500 |   38591500
  Idle time (ns)                     |   23050602 |   20247834 |   20180961 |   20428108 |   20322353 |   20253605 |   20334843 |   20380816 |   34609746 |   38591500 |   38591500 |   38591500 |   38591500 |   38591500 |   38591500 |   38591500
  Idle time (%)                      |      59.7% |      52.5% |      52.3% |      52.9% |      52.7% |      52.5% |      52.7% |      52.8% |      89.7% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4825098 |   10655466 |   10599545 |   10378956 |   10406846 |   10345667 |   10394380 |   10470615 |    1567276 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |     115038 |     184849 |     183754 |     184039 |     187418 |     181910 |     182312 |     184086 |       7961 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      2.33% |      1.71% |      1.70% |      1.74% |      1.77% |      1.73% |      1.72% |      1.73% |      0.51% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       1.27 |       1.71 |       1.70 |       1.72 |       1.74 |       1.71 |       1.72 |       1.71 |       0.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   10646591 |    9765160 |    9755523 |    9648677 |    9724945 |    9590090 |    9563388 |    9701031 |    2797323 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        579 |         79 |         79 |         79 |         82 |         72 |         79 |         72 |         87 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   22633144 |   25825455 |   25797537 |   25510135 |   25836148 |   25269652 |   25236116 |   25624112 |    7855549 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      11338 |      80820 |      81995 |      82785 |      79468 |      78462 |      78434 |      81691 |       2323 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.05% |      0.31% |      0.32% |      0.32% |      0.31% |      0.31% |      0.31% |      0.32% |      0.03% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.13 |       0.75 |       0.76 |       0.77 |       0.74 |       0.74 |       0.74 |       0.76 |       0.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      11917 |      80899 |      82074 |      82864 |      79550 |      78534 |      78513 |      81763 |       2410 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       3160 |       3169 |       4332 |       3271 |       3039 |       2634 |       3591 |       3255 |        956 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     26.52% |      3.92% |      5.28% |      3.95% |      3.82% |      3.35% |      4.57% |      3.98% |     39.67% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.02 |       0.03 |       0.03 |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   10646591 |    9765160 |    9755523 |    9648677 |    9724945 |    9590090 |    9563388 |    9701031 |    2797323 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      19087 |     189829 |     187983 |     188224 |     189182 |     185022 |     184392 |     188331 |       4834 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.18% |      1.94% |      1.93% |      1.95% |      1.95% |      1.93% |      1.93% |      1.94% |      0.17% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.21 |       1.75 |       1.74 |       1.76 |       1.75 |       1.74 |       1.74 |       1.75 |       0.19 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   22633144 |   25825455 |   25797537 |   25510135 |   25836148 |   25269652 |   25236116 |   25624112 |    7855549 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     360398 |     659942 |     658953 |     658028 |     698116 |     642088 |     643148 |     657046 |     139864 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      1.59% |      2.56% |      2.55% |      2.58% |      2.70% |      2.54% |      2.55% |      2.56% |      1.78% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       3.99 |       6.09 |       6.09 |       6.15 |       6.48 |       6.05 |       6.07 |       6.11 |       5.57 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     432923 |     853076 |     850227 |     849461 |     890512 |     830660 |     831197 |     848596 |     146177 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     345609 |      94827 |     101345 |      91922 |     125096 |     101484 |     103143 |      92501 |     123280 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     79.83% |     11.12% |     11.92% |     10.82% |     14.05% |     12.22% |     12.41% |     10.90% |     84.34% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       3.82 |       0.88 |       0.94 |       0.86 |       1.16 |       0.96 |       0.97 |       0.86 |       4.91 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     350488 |          0 |          0 |          0 |     338391 |          0 |          0 |          0 |     366772 |          0 |          0 |          0 |     349722 |          0 |          0 |          0
  average dram access latency (ns)   |     197.75 |        inf |        inf |        inf |     205.26 |        inf |        inf |        inf |     198.73 |        inf |        inf |        inf |     200.08 |        inf |        inf |        inf
  average dram queueing delay        |     144.32 |       0.00 |       0.00 |       0.00 |     151.83 |       0.00 |       0.00 |       0.00 |     145.30 |       0.00 |       0.00 |       0.00 |     146.65 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00% |      7.00% |      0.00% |      0.00% |      0.00% |      8.00% |      0.00% |      0.00% |      0.00% |      7.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     177635 |      60891 |      64130 |      60053 |      58168 |      65482 |      66239 |      59133 |      49192 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2087 |      10445 |      10133 |       8999 |       9672 |       9666 |      10348 |       9937 |        205 |          0 |          0 |          0 |          0 |          0 |          0 |          0
