CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5     Core 6     Core 7     Core 8     Core 9     Core 10    Core 11    Core 12    Core 13    Core 14    Core 15  
base                   0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.25       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-int             0.03       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.05       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-fp              0.00       0.24       0.23       0.25       0.22       0.24       0.23       0.24       0.23       0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-branch          0.03       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port2            0.01       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
branch                 0.23       0.09       0.06       0.10       0.06       0.10       0.06       0.09       0.06       0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-l1d                0.06       0.03       0.03       0.04       0.03       0.03       0.03       0.03       0.03       0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-futex             0.24       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       1.51       1.51       1.51       1.51       1.51       1.51       1.51       1.51       0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-end          0.00       0.39       0.45       0.38       0.46       0.39       0.45       0.40       0.45   44266144.00   44266144.00   44266144.00   44266144.00   44266144.00   44266144.00   44266144.00
other                  0.03       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.02       0.00       0.00       0.00       0.00       0.00       0.00       0.00

total                  0.89       2.60       2.60       2.60       2.60       2.60       2.60       2.60       2.60   44266144.00   44266144.00   44266144.00   44266144.00   44266144.00   44266144.00   44266144.00
