                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   49866137 |   17010184 |   17030539 |   17007123 |   17032290 |   17005520 |   17037554 |   17011782 |   17027366 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   44266000 |   44266000 |   44266000 |   44266000 |   44266000 |   44266000 |   44266000 |   44266000 |   44266000 |   44266000 |   44266000 |   44266000 |   44266000 |   44266000 |   44266000 |   44266000
  IPC                                |       1.13 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   11066500 |   11066500 |   11066500 |   11066500 |   11066500 |   11066500 |   11066500 |   11066500 |   11066500 |   11066500 |   11066500 |   11066500 |   11066500 |   11066500 |   11066500 |   11066500
  Idle time (ns)                     |    3030558 |    8115740 |    8349437 |    8037942 |    8395783 |    8110912 |    8342534 |    8121297 |    8340514 |   11066500 |   11066500 |   11066500 |   11066500 |   11066500 |   11066500 |   11066500
  Idle time (%)                      |      27.4% |      73.3% |      75.4% |      72.6% |      75.9% |      73.3% |      75.4% |      73.4% |      75.4% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8259726 |     970894 |     980438 |     967117 |     982496 |     970743 |     980001 |     971240 |     979355 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |     532164 |      28842 |      19093 |      32153 |      17589 |      28425 |      19615 |      28066 |      19949 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      6.05% |      2.88% |      1.91% |      3.22% |      1.76% |      2.84% |      1.96% |      2.81% |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |      10.67 |       1.70 |       1.12 |       1.89 |       1.03 |       1.67 |       1.15 |       1.65 |       1.17 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    7579859 |    1899316 |    1905831 |    1899310 |    1905717 |    1899206 |    1906200 |    1900498 |    1904792 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        134 |         34 |         34 |         34 |         34 |         34 |         34 |         34 |         34 |          0 |          0 |          0 |          0 |          0 |          0 |          0
