                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49892213 |   92109093 |   92117749 |   92120017
  Cycles                             |   94318000 |   94318000 |   94318000 |   94318000
  IPC                                |       0.53 |       0.98 |       0.98 |       0.98
  Time (ns)                          |   23579500 |   23579500 |   23579500 |   23579500
  Idle time (ns)                     |   15527624 |    8072727 |    8526465 |    8426226
  Idle time (%)                      |      65.9% |      34.2% |      36.2% |      35.7%
Branch predictor stats               |            |            |            |           
  num correct                        |    8265743 |    5383057 |    5401181 |    5391038
  num incorrect                      |     529874 |     153005 |     133302 |     142861
  misprediction rate                 |      6.02% |      2.76% |      2.41% |      2.58%
  mpki                               |      10.62 |       1.66 |       1.45 |       1.55
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7578325 |   10346189 |   10347254 |   10351210
    num misses                       |        139 |         51 |         51 |         51
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17216087 |   27225650 |   27223687 |   27224477
    num misses                       |        437 |       1087 |        998 |       1465
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.02
  L2 TLB                             |            |            |            |           
    num accesses                     |        576 |       1138 |       1049 |       1516
    num misses                       |        315 |        137 |        145 |        128
    miss rate                        |     54.69% |     12.04% |     13.82% |      8.44%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7578325 |   10346189 |   10347254 |   10351210
    num cache misses                 |       2867 |       3337 |       3330 |       3317
    miss rate                        |      0.04% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.06 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17216087 |   27225650 |   27223687 |   27224477
    num cache misses                 |      11392 |      92409 |      91658 |      90363
    miss rate                        |      0.07% |      0.34% |      0.34% |      0.33%
    mpki                             |       0.23 |       1.00 |       1.00 |       0.98
  Cache L2                           |            |            |            |           
    num cache accesses               |      14355 |      95792 |      95512 |      93712
    num cache misses                 |      10581 |       2654 |       2232 |       2590
    miss rate                        |     73.71% |      2.77% |      2.34% |      2.76%
    mpki                             |       0.21 |       0.03 |       0.02 |       0.03
  Cache L3                           |            |            |            |           
    num cache accesses               |      10680 |       2701 |       2756 |       2622
    num cache misses                 |       8912 |        362 |        242 |        165
    miss rate                        |     83.45% |     13.40% |      8.78% |      6.29%
    mpki                             |       0.18 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9681 |          0 |          0 |          0
  average dram access latency (ns)   |     530.82 |        inf |        inf |        inf
  average dram queueing delay        |     477.39 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2550 |        237 |        181 |        129
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
