                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    2486571 |  272993541 |  272987135 |  272987135 |  272996366 |  272988255 |  272987150 |  272987135 |  272987150 |  727825478 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  506029200 |  506029200 |  506029200 |  506029200 |  506029200 |  506029200 |  506029200 |  506029200 |  506029200 |  506029200 |  506029200 |  506029200 |  506029200 |  506029200 |  506029200 |  506029200
  IPC                                |       0.00 |       0.54 |       0.54 |       0.54 |       0.54 |       0.54 |       0.54 |       0.54 |       0.54 |       1.44 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  126507300 |  126507300 |  126507300 |  126507300 |  126507300 |  126507300 |  126507300 |  126507300 |  126507300 |  126507300 |  126507300 |  126507300 |  126507300 |  126507300 |  126507300 |  126507300
  Idle time (ns)                     |  125622864 |   79309104 |   79307891 |   79309527 |   79338574 |   79337893 |   79308632 |   79307438 |   79307684 |     881358 |  126507300 |  126507300 |  126507300 |  126507300 |  126507300 |  126507300
  Idle time (%)                      |      99.3% |      62.7% |      62.7% |      62.7% |      62.7% |      62.7% |      62.7% |      62.7% |      62.7% |       0.7% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     345705 |   25160183 |   25159425 |   25159425 |   25162262 |   25161320 |   25159424 |   25159425 |   25159424 |   67063157 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |      16869 |    1438041 |    1437942 |    1437942 |    1436369 |    1436190 |    1437945 |    1437942 |    1437945 |    3831440 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      4.65% |      5.41% |      5.41% |      5.41% |      5.40% |      5.40% |      5.41% |      5.41% |      5.41% |      5.40% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       6.78 |       5.27 |       5.27 |       5.27 |       5.26 |       5.26 |       5.27 |       5.27 |       5.27 |       5.26 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     219205 |   36193547 |   36192693 |   36192693 |   36193882 |   36192844 |   36192699 |   36192693 |   36192699 |   96494806 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        183 |         45 |         45 |         45 |         45 |         45 |         45 |         45 |         45 |         45 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.08% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.07 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
