                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2410474 |  255477571 |  255400538 |  306451882
  Cycles                             |  192884400 |  192884400 |  192884400 |  192884400
  IPC                                |       0.01 |       1.32 |       1.32 |       1.59
  Time (ns)                          |   48221100 |   48221100 |   48221100 |   48221100
  Idle time (ns)                     |   47371392 |    8757751 |    8735487 |     848925
  Idle time (%)                      |      98.2% |      18.2% |      18.1% |       1.8%
Branch predictor stats               |            |            |            |           
  num correct                        |     333072 |   24365000 |   24352027 |   29217030
  num incorrect                      |      16558 |     744899 |     746242 |     895108
  misprediction rate                 |      4.74% |      2.97% |      2.97% |      2.97%
  mpki                               |       6.87 |       2.92 |       2.92 |       2.92
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     206674 |   33838164 |   33826803 |   40587434
    num misses                       |        201 |         73 |         46 |         47
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     817087 |   90157875 |   90128052 |  108139605
    num misses                       |       1575 |       8291 |       1268 |       1276
    miss rate                        |      0.19% |      0.01% |      0.00% |      0.00%
    mpki                             |       0.65 |       0.03 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       1776 |       8364 |       1314 |       1323
    num misses                       |        484 |        215 |        149 |        155
    miss rate                        |     27.25% |      2.57% |     11.34% |     11.72%
    mpki                             |       0.20 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     206674 |   33838164 |   33826803 |   40587434
    num cache misses                 |       2882 |      30214 |      28687 |      34375
    miss rate                        |      1.39% |      0.09% |      0.08% |      0.08%
    mpki                             |       1.20 |       0.12 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     817087 |   90157875 |   90128052 |  108139605
    num cache misses                 |      17477 |    1007875 |    1009763 |    1209247
    miss rate                        |      2.14% |      1.12% |      1.12% |      1.12%
    mpki                             |       7.25 |       3.95 |       3.95 |       3.95
  Cache L2                           |            |            |            |           
    num cache accesses               |      20807 |    1038388 |    1038755 |    1243981
    num cache misses                 |      13566 |       3359 |       3022 |       3408
    miss rate                        |     65.20% |      0.32% |      0.29% |      0.27%
    mpki                             |       5.63 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |      14019 |       3666 |       3334 |       3775
    num cache misses                 |      11957 |       2313 |       2161 |       2604
    miss rate                        |     85.29% |     63.09% |     64.82% |     68.98%
    mpki                             |       4.96 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      18762 |          0 |          0 |          0
  average dram access latency (ns)   |     191.52 |        inf |        inf |        inf
  average dram queueing delay        |     138.09 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8157 |        600 |        475 |        634
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
