                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    2410334 |  284499518 |  284429730 |  341276816
  Cycles                             |  213596400 |  213596400 |  213596400 |  213596400
  IPC                                |       0.01 |       1.33 |       1.33 |       1.60
  Time (ns)                          |   53399100 |   53399100 |   53399100 |   53399100
  Idle time (ns)                     |   52548192 |    9575096 |    9591442 |     850250
  Idle time (%)                      |      98.4% |      17.9% |      18.0% |       1.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     332890 |   27127017 |   27117968 |   32535833
  num incorrect                      |      16672 |     838019 |     836464 |    1002089
  misprediction rate                 |      4.77% |      3.00% |      2.99% |      2.99%
  mpki                               |       6.92 |       2.95 |       2.94 |       2.94
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     206666 |   37685704 |   37675214 |   45204127
    num misses                       |        190 |         69 |         45 |         45
    miss rate                        |      0.09% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.08 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     817111 |  100413016 |  100385967 |  120444811
    num misses                       |       1534 |      10824 |       1407 |       3863
    miss rate                        |      0.19% |      0.01% |      0.00% |      0.00%
    mpki                             |       0.64 |       0.04 |       0.00 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |       1724 |      10893 |       1452 |       3908
    num misses                       |        487 |        183 |        148 |        147
    miss rate                        |     28.25% |      1.68% |     10.19% |      3.76%
    mpki                             |       0.20 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     206666 |   37685704 |   37675214 |   45204127
    num cache misses                 |       2901 |       2352 |        802 |        855
    miss rate                        |      1.40% |      0.01% |      0.00% |      0.00%
    mpki                             |       1.20 |       0.01 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     817111 |  100413016 |  100385967 |  120444811
    num cache misses                 |      17490 |    1122770 |    1125121 |    1347074
    miss rate                        |      2.14% |      1.12% |      1.12% |      1.12%
    mpki                             |       7.26 |       3.95 |       3.96 |       3.95
  Cache L2                           |            |            |            |           
    num cache accesses               |      20842 |    1125448 |    1126256 |    1348331
    num cache misses                 |      13608 |       3317 |       3083 |       3359
    miss rate                        |     65.29% |      0.29% |      0.27% |      0.25%
    mpki                             |       5.65 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |      14064 |       3668 |       3437 |       3784
    num cache misses                 |      11954 |       2331 |       2257 |       2364
    miss rate                        |     85.00% |     63.55% |     65.67% |     62.47%
    mpki                             |       4.96 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      18758 |          0 |          0 |          0
  average dram access latency (ns)   |     159.01 |        inf |        inf |        inf
  average dram queueing delay        |     105.58 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       8161 |        670 |        603 |        473
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
