CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.49       0.71       0.71       0.00
depend-int             0.06       0.07       0.07       0.00
depend-fp              0.00       0.32       0.32       0.00
depend-branch          0.06       0.00       0.00       0.00
branch                 0.41       0.16       0.16       0.00
mem-l1d                0.10       0.04       0.04       0.00
sync-futex             3.64       0.00       0.00       0.00
sync-unscheduled        0.00       0.34       0.34       0.00
imbalance-end          0.00       0.09       0.10   240056442.00
other                  0.06       0.03       0.03    8000.00

total                  4.82       1.76       1.76   240064442.00
